county,harris,kennedy,oliver,sonski,stein,terry,trump,west,totalVotesCast
State House District 1,3367,183,73,7,49,12,4861,32,8584
State House District 2,4571,221,75,24,82,18,4534,38,9563
State House District 3,6130,170,127,28,95,20,4496,41,11107
State House District 4,6161,143,74,29,109,14,2691,49,9270
State House District 5,3328,129,79,17,82,17,4351,17,8020
State House District 6,4773,192,110,20,122,39,6705,39,12000
State House District 7,2513,148,76,18,39,22,6777,16,9609
State House District 8,2576,126,59,13,39,18,7950,24,10805
State House District 9,5849,186,93,22,70,17,5581,18,11836
State House District 10,4070,142,75,17,67,15,4357,20,8763
State House District 11,4633,130,97,23,60,17,4864,16,9840
State House District 12,4169,114,61,17,54,11,4059,30,8515
State House District 13,3682,114,69,20,62,17,3589,24,7577
State House District 14,4346,108,70,9,72,20,2768,33,7426
State House District 15,4364,155,88,11,42,15,4594,24,9293
State House District 16,5344,143,103,14,74,19,3929,43,9669
State House District 17,4990,113,64,8,81,6,2407,49,7718
State House District 18,1928,97,50,8,26,7,2686,14,4816
State House District 19,2825,65,46,8,62,18,1971,30,5025
State House District 20,3924,102,66,23,62,15,3041,34,7267
State House District 21,4711,110,74,25,86,19,3984,34,9043
State House District 22,2660,68,41,7,44,27,2594,22,5463
State House District 23,4116,191,137,33,55,30,6101,22,10685
State House District 24,3234,163,118,17,42,33,6482,29,10118
State House District 25,3172,188,101,19,51,18,6891,20,10460
State House District 26,2013,156,66,9,33,14,7143,14,9448
State House District 27,1807,118,76,11,28,27,6785,8,8860
State House District 28,2213,153,97,24,34,22,6713,23,9279
State House District 29,2708,156,96,12,60,22,7418,28,10500
State House District 30,2701,115,75,10,53,20,7312,20,10306
State House District 31,3240,106,68,21,52,13,3475,28,7003
State House District 32,1883,97,69,9,35,12,3742,17,5864
State House District 33,2016,133,79,20,32,14,6548,17,8859
State House District 34,3759,188,99,19,55,29,5836,27,10012
State House District 35,4885,120,101,31,126,22,4395,52,9732
State House District 36,3538,169,77,44,76,27,5633,34,9598
State House District 37,1921,99,27,12,44,19,2208,20,4350
State House District 38,2028,223,37,22,29,68,1558,29,3994
State House District 39,2180,200,19,13,31,23,1690,50,4206
State House District 40,1362,130,28,8,22,16,1688,39,3293
Totals,139690,5664,3040,702,2337,812,184407,1124,337776
