COUNTY,FIPS,SRPREC,ELECTION,SRPREC_KEY,GEO_TYPE,CITY,N_IN_CITY,N
1,06001,200100,g24,06001200100,srprec,BERKELEY,3516,3516
1,06001,200200,g24,06001200200,srprec,BERKELEY,2447,2448
1,06001,201400,g24,06001201400,srprec,BERKELEY,3774,3776
1,06001,202200,g24,06001202200,srprec,BERKELEY,548,548
1,06001,206900,g24,06001206900,srprec,BERKELEY,1442,1442
1,06001,203500,g24,06001203500,srprec,BERKELEY,2083,2086
1,06001,202620,g24,06001202620,srprec,BERKELEY,1100,1107
1,06001,202500,g24,06001202500,srprec,BERKELEY,1134,1135
1,06001,204210,g24,06001204210,srprec,BERKELEY,2195,2197
1,06001,203100,g24,06001203100,srprec,BERKELEY,2623,2701
1,06001,203800,g24,06001203800,srprec,BERKELEY,2324,2325
1,06001,203880,g24,06001203880,srprec,BERKELEY,36,36
1,06001,203890,g24,06001203890,srprec,BERKELEY,35,35
1,06001,207200,g24,06001207200,srprec,BERKELEY,2510,2511
1,06001,204300,g24,06001204300,srprec,BERKELEY,2634,2636
1,06001,204900,g24,06001204900,srprec,BERKELEY,1120,1122
1,06001,205200,g24,06001205200,srprec,BERKELEY,4281,4290
1,06001,209310,g24,06001209310,srprec,BERKELEY,5499,5504
1,06001,205700,g24,06001205700,srprec,BERKELEY,3653,3667
1,06001,206200,g24,06001206200,srprec,BERKELEY,2129,2133
1,06001,207700,g24,06001207700,srprec,BERKELEY,2862,2873
1,06001,207000,g24,06001207000,srprec,BERKELEY,1967,1968
1,06001,208010,g24,06001208010,srprec,BERKELEY,3575,3575
1,06001,209900,g24,06001209900,srprec,BERKELEY,4410,4437
1,06001,208300,g24,06001208300,srprec,BERKELEY,3627,3630
1,06001,208510,g24,06001208510,srprec,BERKELEY,2538,2551
1,06001,208690,g24,06001208690,srprec,BERKELEY,28,28
1,06001,208800,g24,06001208800,srprec,BERKELEY,1463,1471
1,06001,208900,g24,06001208900,srprec,BERKELEY,1406,1406
1,06001,208820,g24,06001208820,srprec,BERKELEY,428,428
1,06001,209010,g24,06001209010,srprec,BERKELEY,4123,4124
1,06001,209700,g24,06001209700,srprec,BERKELEY,2634,2667
1,06001,213100,g24,06001213100,srprec,BERKELEY,1162,1171
1,06001,213500,g24,06001213500,srprec,OAKLAND,2541,3237
1,06001,213600,g24,06001213600,srprec,OAKLAND,4163,4163
1,06001,245300,g24,06001245300,srprec,OAKLAND,2037,2037
1,06001,213920,g24,06001213920,srprec,OAKLAND,55,55
1,06001,215500,g24,06001215500,srprec,OAKLAND,3710,3710
1,06001,214300,g24,06001214300,srprec,OAKLAND,1971,2001
1,06001,214600,g24,06001214600,srprec,OAKLAND,3350,3406
1,06001,215110,g24,06001215110,srprec,OAKLAND,3100,3101
1,06001,215400,g24,06001215400,srprec,OAKLAND,1462,1465
1,06001,215700,g24,06001215700,srprec,OAKLAND,3135,3137
1,06001,215800,g24,06001215800,srprec,OAKLAND,1991,1991
1,06001,335710,g24,06001335710,srprec,OAKLAND,3040,3045
1,06001,223010,g24,06001223010,srprec,OAKLAND,4120,4122
1,06001,224000,g24,06001224000,srprec,OAKLAND,4337,4337
1,06001,224600,g24,06001224600,srprec,OAKLAND,2453,2453
1,06001,224500,g24,06001224500,srprec,OAKLAND,1910,1911
1,06001,224800,g24,06001224800,srprec,OAKLAND,1578,1581
1,06001,245000,g24,06001245000,srprec,OAKLAND,2530,2530
1,06001,225300,g24,06001225300,srprec,OAKLAND,2046,2047
1,06001,225710,g24,06001225710,srprec,OAKLAND,3201,3202
1,06001,225900,g24,06001225900,srprec,OAKLAND,2753,2763
1,06001,244000,g24,06001244000,srprec,OAKLAND,3036,3037
1,06001,244300,g24,06001244300,srprec,OAKLAND,5284,5286
1,06001,345900,g24,06001345900,srprec,OAKLAND,2190,2191
1,06001,260100,g24,06001260100,srprec,ALBANY,3818,3818
1,06001,261300,g24,06001261300,srprec,ALBANY,3845,3847
1,06001,262000,g24,06001262000,srprec,ALBANY,4272,4278
1,06001,280100,g24,06001280100,srprec,PIEDMONT,4594,4604
1,06001,280700,g24,06001280700,srprec,PIEDMONT,4310,4319
1,06001,300130,g24,06001300130,srprec,ALAMEDA,3141,3150
1,06001,300150,g24,06001300150,srprec,ALAMEDA,4659,4659
1,06001,300110,g24,06001300110,srprec,ALAMEDA,2396,2396
1,06001,300300,g24,06001300300,srprec,ALAMEDA,4120,4120
1,06001,302200,g24,06001302200,srprec,ALAMEDA,5002,5005
1,06001,301900,g24,06001301900,srprec,ALAMEDA,5218,5225
1,06001,303800,g24,06001303800,srprec,ALAMEDA,4706,4709
1,06001,302700,g24,06001302700,srprec,ALAMEDA,4272,4273
1,06001,305700,g24,06001305700,srprec,ALAMEDA,4579,4581
1,06001,304800,g24,06001304800,srprec,ALAMEDA,5714,5717
1,06001,305500,g24,06001305500,srprec,ALAMEDA,4106,4108
1,06001,305110,g24,06001305110,srprec,ALAMEDA,4172,4174
1,06001,310000,g24,06001310000,srprec,OAKLAND,4596,4622
1,06001,310120,g24,06001310120,srprec,OAKLAND,30,30
1,06001,311400,g24,06001311400,srprec,OAKLAND,4383,4402
1,06001,310600,g24,06001310600,srprec,OAKLAND,4121,4134
1,06001,335400,g24,06001335400,srprec,OAKLAND,3125,3129
1,06001,323200,g24,06001323200,srprec,OAKLAND,3898,3898
1,06001,325100,g24,06001325100,srprec,OAKLAND,4441,4442
1,06001,325400,g24,06001325400,srprec,OAKLAND,2960,2960
1,06001,335700,g24,06001335700,srprec,OAKLAND,2497,2501
1,06001,325600,g24,06001325600,srprec,OAKLAND,3191,3193
1,06001,333200,g24,06001333200,srprec,OAKLAND,3648,3653
1,06001,333210,g24,06001333210,srprec,OAKLAND,531,542
1,06001,333900,g24,06001333900,srprec,OAKLAND,2146,2150
1,06001,333410,g24,06001333410,srprec,OAKLAND,3367,3376
1,06001,333910,g24,06001333910,srprec,OAKLAND,1148,1157
1,06001,333460,g24,06001333460,srprec,OAKLAND,216,217
1,06001,334000,g24,06001334000,srprec,OAKLAND,2566,2566
1,06001,333810,g24,06001333810,srprec,OAKLAND,1471,1471
1,06001,353310,g24,06001353310,srprec,OAKLAND,3325,3326
1,06001,334510,g24,06001334510,srprec,OAKLAND,211,211
1,06001,334800,g24,06001334800,srprec,OAKLAND,2535,2541
1,06001,334610,g24,06001334610,srprec,OAKLAND,143,143
1,06001,335100,g24,06001335100,srprec,OAKLAND,3815,3838
1,06001,335110,g24,06001335110,srprec,OAKLAND,258,260
1,06001,336710,g24,06001336710,srprec,OAKLAND,3292,3295
1,06001,335810,g24,06001335810,srprec,OAKLAND,225,226
1,06001,336200,g24,06001336200,srprec,OAKLAND,4144,4159
1,06001,336610,g24,06001336610,srprec,OAKLAND,3635,3639
1,06001,336900,g24,06001336900,srprec,OAKLAND,1752,1757
1,06001,344000,g24,06001344000,srprec,OAKLAND,2747,2748
1,06001,344200,g24,06001344200,srprec,OAKLAND,2945,2945
1,06001,345500,g24,06001345500,srprec,OAKLAND,4339,4343
1,06001,344700,g24,06001344700,srprec,OAKLAND,2120,2121
1,06001,344410,g24,06001344410,srprec,OAKLAND,840,840
1,06001,362600,g24,06001362600,srprec,OAKLAND,3726,3727
1,06001,345310,g24,06001345310,srprec,OAKLAND,859,859
1,06001,345320,g24,06001345320,srprec,OAKLAND,21,21
1,06001,345700,g24,06001345700,srprec,OAKLAND,2250,2250
1,06001,345710,g24,06001345710,srprec,OAKLAND,100,100
1,06001,346000,g24,06001346000,srprec,OAKLAND,542,542
1,06001,346100,g24,06001346100,srprec,OAKLAND,2513,2513
1,06001,347200,g24,06001347200,srprec,OAKLAND,3564,3567
1,06001,353900,g24,06001353900,srprec,OAKLAND,3877,3877
1,06001,354400,g24,06001354400,srprec,OAKLAND,2740,2741
1,06001,354100,g24,06001354100,srprec,OAKLAND,1202,1202
1,06001,354910,g24,06001354910,srprec,OAKLAND,3012,3012
1,06001,354300,g24,06001354300,srprec,OAKLAND,1723,1724
1,06001,354700,g24,06001354700,srprec,OAKLAND,3010,3010
1,06001,355100,g24,06001355100,srprec,OAKLAND,2159,2162
1,06001,356000,g24,06001356000,srprec,OAKLAND,4217,4218
1,06001,356410,g24,06001356410,srprec,OAKLAND,2305,2305
1,06001,361100,g24,06001361100,srprec,OAKLAND,350,351
1,06001,361000,g24,06001361000,srprec,OAKLAND,829,829
1,06001,361130,g24,06001361130,srprec,OAKLAND,1334,1334
1,06001,361200,g24,06001361200,srprec,OAKLAND,1637,1640
1,06001,361500,g24,06001361500,srprec,OAKLAND,5760,5766
1,06001,415300,g24,06001415300,srprec,OAKLAND,2161,2163
1,06001,362200,g24,06001362200,srprec,OAKLAND,2049,2051
1,06001,362220,g24,06001362220,srprec,OAKLAND,27,27
1,06001,362510,g24,06001362510,srprec,OAKLAND,1624,1625
1,06001,363000,g24,06001363000,srprec,OAKLAND,2713,2718
1,06001,362500,g24,06001362500,srprec,OAKLAND,1105,1108
1,06001,362800,g24,06001362800,srprec,OAKLAND,2010,2012
1,06001,363200,g24,06001363200,srprec,OAKLAND,2458,2460
1,06001,365200,g24,06001365200,srprec,OAKLAND,2672,2673
1,06001,364200,g24,06001364200,srprec,OAKLAND,1304,1304
1,06001,364020,g24,06001364020,srprec,OAKLAND,11,11
1,06001,364310,g24,06001364310,srprec,OAKLAND,3037,3037
1,06001,364510,g24,06001364510,srprec,OAKLAND,912,912
1,06001,364600,g24,06001364600,srprec,OAKLAND,1495,1496
1,06001,364800,g24,06001364800,srprec,OAKLAND,1734,1736
