,,Elliott Hood,Eric Rinard,T.J. Cole,Thomas Reasoner,Total Votes Cast,Total Ballots Cast
,,Democratic,Republican,Unity Party of Colorado,Approval Voting,,
State,Colorado,1478661,1363271,59612,29232,2930776,2930776
County,Adams,109088,94974,5390,2927,212379,212379
Precinct,4215601243,200,577,10,2,789,789
Precinct,4215601244,199,763,16,11,989,989
Precinct,4215601245,54,250,6,1,311,311
Precinct,4215601246,485,918,48,27,1478,1478
Precinct,4215601247,156,638,13,10,817,817
Precinct,4215601248,162,741,14,5,922,922
Precinct,4215601249,41,262,10,2,315,315
Precinct,4215601251,258,918,27,17,1220,1220
Precinct,4283601267,0,0,0,0,0,0
Precinct,4285601241,7,27,0,1,35,35
Precinct,4285601266,52,135,3,3,193,193
Precinct,6215601269,4,16,3,1,24,24
Precinct,6283601229,499,180,23,14,716,716
Precinct,6283601230,765,251,29,10,1055,1055
Precinct,6283601231,882,288,36,13,1219,1219
Precinct,6283601232,397,135,10,7,549,549
Precinct,6283601233,579,266,30,8,883,883
Precinct,6283601234,406,241,30,14,691,691
Precinct,6283601235,249,114,18,3,384,384
Precinct,6283601236,512,307,28,11,858,858
Precinct,6283601237,398,218,34,15,665,665
Precinct,6283601238,424,346,22,12,804,804
Precinct,6283601239,421,336,34,13,804,804
Precinct,6283601240,2269,947,89,18,3323,3323
Precinct,6283601242,59,148,0,3,210,210
Precinct,6283601253,499,104,32,11,646,646
Precinct,6283601258,423,162,22,11,618,618
Precinct,6283601260,682,210,18,9,919,919
Precinct,7192401008,470,309,13,12,804,804
Precinct,7192401009,452,242,14,5,713,713
Precinct,8134801162,260,608,10,4,882,882
Precinct,8134801163,166,401,16,3,586,586
Precinct,8134801170,437,395,40,23,895,895
Precinct,8134801171,445,490,22,24,981,981
Precinct,8134801172,87,139,6,2,234,234
Precinct,8134801173,28,45,1,2,76,76
Precinct,8134801174,146,260,2,8,416,416
Precinct,8134801175,451,668,28,17,1164,1164
Precinct,8134801176,281,370,16,14,681,681
Precinct,8134801177,148,327,8,3,486,486
Precinct,8134801178,273,380,12,10,675,675
Precinct,8134801179,136,164,4,3,307,307
Precinct,8134801180,298,442,20,14,774,774
Precinct,8134801181,409,544,28,9,990,990
Precinct,8134801182,279,372,14,9,674,674
Precinct,8134801183,114,201,11,3,329,329
Precinct,8134801184,104,168,6,8,286,286
Precinct,8134801185,178,302,1,8,489,489
Precinct,8134801186,408,561,32,18,1019,1019
Precinct,8134801187,313,391,27,10,741,741
Precinct,8134801188,239,377,23,5,644,644
Precinct,8134801189,239,402,17,2,660,660
Precinct,8134801190,358,484,25,16,883,883
Precinct,8134801191,502,576,14,19,1111,1111
Precinct,8134801192,289,292,9,10,600,600
Precinct,8134801193,373,459,19,8,859,859
Precinct,8134801194,113,197,9,6,325,325
Precinct,8134801195,176,224,12,4,416,416
