county,electionDayVoters,absenteeVoters,ballotsCast,activeVoters,inactiveVoters,totalRegisteredVoters,activeTurnoutPct,totalTurnoutPct
Adair,2537,1567,4104,4253,1170,5423,96.49,75.67
Adams,1174,979,2153,2248,608,2856,95.77,75.38
Allamakee,4075,3335,7410,7846,2231,10077,94.44,73.53
Appanoose,3848,2687,6535,6705,2226,8931,97.46,73.17
Audubon,1864,1422,3286,3413,793,4206,96.27,78.12
Benton,10608,3985,14593,15108,3665,18773,96.59,77.73
Black Hawk,38274,25005,63279,62847,23829,86676,100.68,73.00
Boone,8469,7051,15520,15956,4450,20406,97.26,76.05
Bremer,8939,5734,14673,14746,3631,18377,99.50,79.84
Buchanan,6991,3865,10856,10994,3210,14204,98.74,76.42
Buena Vista,4226,3367,7593,7993,4074,12067,94.99,62.92
Butler,5491,2611,8102,8146,2119,10265,99.45,78.92
Calhoun,3374,1747,5121,5391,1345,6736,94.99,76.02
Carroll,6606,4603,11209,11984,3038,15022,93.53,74.61
Cass,4302,2990,7292,7394,2261,9655,98.62,75.52
Cedar,6147,4562,10709,10811,2547,13358,99.05,80.16
Cerro Gordo,13131,10021,23152,23857,7743,31600,97.04,73.26
Cherokee,3380,2763,6143,6405,1811,8216,95.90,74.76
Chickasaw,3034,3243,6277,6577,1729,8306,95.43,75.57
Clarke,2709,1843,4552,4628,1616,6244,98.35,72.90
Clay,4563,4046,8609,8982,2813,11795,95.84,72.98
Clayton,6555,2906,9461,9839,2602,12441,96.15,76.04
Clinton,12815,11211,24026,25430,8827,34257,94.47,70.13
Crawford,4032,2573,6605,6758,3115,9873,97.73,66.89
Dallas,37461,25869,63330,63486,14959,78445,99.75,80.73
Davis,2262,1708,3970,4074,1092,5166,97.44,76.84
Decatur,2375,1379,3754,3612,1334,4946,103.93,75.89
Delaware,6667,3544,10211,10241,2245,12486,99.70,81.77
Des Moines,9996,9175,19171,20237,7815,28052,94.73,68.34
Dickinson,5006,6313,11319,12065,2874,14939,93.81,75.76
Dubuque,28731,24326,53057,54526,17185,71711,97.30,73.98
Emmet,3123,1708,4831,4926,1802,6728,98.07,71.80
Fayette,6735,3193,9928,10042,2609,12651,98.86,78.47
Floyd,4735,2969,7704,7957,2812,10769,96.82,71.53
Franklin,3162,1785,4947,4892,1730,6622,101.12,74.70
Fremont,2495,1319,3814,3890,1326,5216,98.04,73.12
Greene,2553,2415,4968,5167,1355,6522,96.14,76.17
Grundy,4756,2446,7202,7383,1757,9140,97.54,78.79
Guthrie,4053,2553,6606,6807,1668,8475,97.04,77.94
Hamilton,4294,3349,7643,8048,2203,10251,94.96,74.55
Hancock,4094,1885,5979,6014,1836,7850,99.41,76.16
Hardin,5488,3050,8538,8555,2944,11499,99.80,74.24
Harrison,5609,2406,8015,7892,1646,9538,101.55,84.03
Henry,4306,5367,9673,9967,3584,13551,97.05,71.38
Howard,3131,1753,4884,5015,1430,6445,97.38,75.77
Humboldt,3031,2104,5135,5303,1447,6750,96.83,76.07
Ida,2541,1130,3671,3761,1135,4896,97.60,74.97
Iowa,5820,3884,9704,9978,2601,12579,97.25,77.14
Jackson,6753,4096,10849,11230,3512,14742,96.60,73.59
Jasper,12134,8172,20306,20678,6301,26979,98.20,75.26
Jefferson,3684,4770,8454,8650,2826,11476,97.73,73.66
Johnson,41415,45692,87107,87891,27743,115634,99.10,75.32
Jones,6208,4846,11054,11243,3050,14293,98.31,77.33
Keokuk,3531,1651,5182,5207,1557,6764,99.51,76.61
Kossuth,5181,3269,8450,8683,2332,11015,97.31,76.71
Lee,8851,7460,16311,16722,6370,23092,97.54,70.63
Linn,71574,52176,123750,125023,39033,164056,98.98,75.43
Louisa,3052,2126,5178,5314,2095,7409,97.44,69.88
Lucas,2484,2192,4676,4814,1366,6180,97.13,75.66
Lyon,4865,2181,7046,7282,1631,8913,96.75,79.05
Madison,5851,4266,10117,10173,2499,12672,99.44,79.83
Mahaska,6375,4642,11017,10587,4124,14711,104.06,74.88
Marion,12564,7097,19661,20060,5237,25297,98.01,77.72
Marshall,9080,8326,17406,18037,6799,24836,96.50,70.08
Mills,4866,3463,8329,8613,3077,11690,96.70,71.24
Mitchell,3470,2326,5796,5814,1567,7381,99.69,78.52
Monona,3128,1541,4669,4794,1010,5804,97.39,80.44
Monroe,2191,1994,4185,4279,1116,5395,97.80,77.57
Montgomery,3008,2097,5105,5111,2195,7306,99.88,69.87
Muscatine,12021,7852,19873,19906,9297,29203,99.83,68.05
O'Brien,5514,2055,7569,7600,2159,9759,99.59,77.55
Osceola,2307,938,3245,3209,1027,4236,101.12,76.60
Page,4572,2847,7419,7858,2705,10563,94.41,70.23
Palo Alto,3160,1853,5013,4988,1432,6420,100.50,78.08
Plymouth,8376,5708,14084,14348,4157,18505,98.16,76.10
Pocahontas,2282,1318,3600,3840,1030,4870,93.75,73.92
Polk,169459,88608,258067,258796,80911,339707,99.71,75.96
Pottawattamie,28820,15946,44766,46164,19841,66005,96.97,67.82
Poweshiek,5853,4216,10069,10649,4007,14656,94.55,68.70
Ringgold,1480,1231,2711,2778,579,3357,97.58,80.75
Sac,3882,1616,5498,5612,1654,7266,97.96,75.66
Scott,47648,42964,90612,93391,38368,131759,97.02,68.77
Shelby,3493,3050,6543,6829,1891,8720,95.81,75.03
Sioux,13527,5593,19120,19224,4559,23783,99.45,80.39
Story,31829,17989,49818,48198,22006,70204,103.36,70.96
Tama,6455,2230,8685,8514,2893,11407,102.00,76.13
Taylor,2027,1075,3102,3062,958,4020,101.30,77.16
Union,3258,2783,6041,6340,2041,8381,95.28,72.07
Van Buren,2498,1157,3655,3856,1104,4960,94.78,73.68
Wapello,8602,6095,14697,15074,6457,21531,97.49,68.25
Warren,19554,13569,33123,32141,8781,40922,103.05,80.94
Washington,6007,5666,11673,12120,3497,15617,96.31,74.74
Wayne,1873,1289,3162,3237,750,3987,97.68,79.30
