County,"Russ Fulcher
Republican","Kaylee Peterson
Democratic","Matt Loesby
Libertarian","Brendan J. Gomez
Constitutional","Margot Dupre
Independent","David D Bot
Independent","Blank Votes","Spoiled Votes","Total Votes Cast","Total Ballots Cast"
Totals,"331,049","118,656","9,594","6,933",7,3,"22,598",246,"466,242","489,086"
Ada,"86,638","36,917","2,748","2,012",2,1,"5,866",90,"128,318","134,274"
"Precinct 1001","1,890",352,35,36,0,0,105,1,"2,313","2,419"
"Precinct 1002","1,879",287,21,22,0,0,82,5,"2,209","2,296"
"Precinct 1003","1,341",314,31,25,0,0,72,1,"1,711","1,784"
"Precinct 1004","1,148",292,33,21,0,0,74,1,"1,494","1,569"
"Precinct 1005","1,264",357,21,25,0,0,71,0,"1,667","1,738"
"Precinct 1006",691,179,11,9,0,0,47,2,890,939
"Precinct 1401",973,309,15,12,0,0,51,0,"1,309","1,360"
"Precinct 1402","1,925",314,24,32,0,0,101,0,"2,295","2,396"
"Precinct 1403","1,214",354,36,23,0,0,79,3,"1,627","1,709"
"Precinct 1404","1,260",352,15,25,0,0,77,1,"1,652","1,730"
"Precinct 1405",988,292,23,19,0,0,61,2,"1,322","1,385"
"Precinct 1406",974,386,23,18,0,0,76,1,"1,401","1,478"
"Precinct 1407",621,293,18,15,0,0,52,0,947,999
"Precinct 1408","1,057",583,32,35,0,0,79,3,"1,707","1,789"
"Precinct 1409",707,418,32,22,0,0,54,1,"1,179","1,234"
"Precinct 1410",800,583,27,20,0,0,67,0,"1,430","1,497"
"Precinct 1411",800,454,34,22,0,0,65,2,"1,310","1,377"
"Precinct 1412","1,182",367,23,20,0,0,72,2,"1,592","1,666"
"Precinct 1413",947,295,29,20,0,0,53,1,"1,291","1,345"
"Precinct 1414",782,272,10,6,0,0,63,0,"1,070","1,133"
"Precinct 1415","1,010",323,15,13,0,0,53,2,"1,361","1,416"
"Precinct 1819",834,504,33,20,0,0,66,0,"1,391","1,457"
"Precinct 2001","1,836",512,65,48,0,0,119,1,"2,461","2,581"
"Precinct 2002","1,742",580,34,22,0,0,99,1,"2,378","2,478"
"Precinct 2003",699,308,34,19,0,0,47,4,"1,060","1,111"
"Precinct 2004","1,027",370,29,30,0,0,77,0,"1,456","1,533"
"Precinct 2005",805,374,23,12,0,0,65,1,"1,214","1,280"
"Precinct 2006",724,372,11,12,0,0,69,1,"1,119","1,189"
"Precinct 2007",738,333,13,23,0,0,45,2,"1,107","1,154"
"Precinct 2008",977,448,26,21,0,0,72,0,"1,472","1,544"
"Precinct 2009",725,515,32,18,0,0,59,0,"1,290","1,349"
"Precinct 2010",787,339,15,17,0,0,44,0,"1,158","1,202"
"Precinct 2011",805,305,25,17,0,0,66,1,"1,152","1,219"
"Precinct 2012",966,440,42,30,0,0,86,0,"1,478","1,564"
"Precinct 2013",760,413,38,20,0,0,56,3,"1,231","1,290"
"Precinct 2014",842,371,26,14,0,0,48,0,"1,253","1,301"
"Precinct 2015",881,424,40,11,0,0,46,3,"1,356","1,405"
"Precinct 2016",765,447,29,30,0,0,57,1,"1,271","1,329"
"Precinct 2017",836,439,31,15,0,0,55,1,"1,321","1,377"
"Precinct 2018",790,488,20,14,0,0,63,1,"1,312","1,376"
"Precinct 2019",724,444,30,15,0,0,79,0,"1,213","1,292"
"Precinct 2020",811,477,25,16,0,0,60,2,"1,329","1,391"
"Precinct 2101",707,247,23,15,0,0,39,1,992,"1,032"
"Precinct 2102",935,423,21,17,0,0,51,0,"1,396","1,447"
"Precinct 2103",761,388,29,19,0,0,40,0,"1,197","1,237"
"Precinct 2104",753,365,24,19,0,0,33,0,"1,161","1,194"
"Precinct 2105",619,345,34,22,0,0,66,0,"1,020","1,086"
"Precinct 2106",735,390,27,22,0,0,64,2,"1,174","1,240"
"Precinct 2107","1,089",478,40,23,0,0,60,1,"1,630","1,691"
"Precinct 2108",735,358,21,22,0,0,40,1,"1,136","1,177"
"Precinct 2109",759,475,34,31,0,0,67,2,"1,299","1,368"
"Precinct 2110",563,408,26,20,0,0,52,3,"1,017","1,072"
"Precinct 2111","1,057",558,59,28,0,0,74,2,"1,702","1,778"
"Precinct 2112",888,411,49,29,1,0,65,0,"1,378","1,443"
"Precinct 2113",765,492,34,23,0,0,59,1,"1,314","1,374"
"Precinct 2114",799,560,29,20,0,0,61,1,"1,408","1,470"
"Precinct 2115",947,456,36,24,0,0,59,0,"1,463","1,522"
"Precinct 2116",894,358,32,29,0,0,76,0,"1,313","1,389"
"Precinct 2117",841,332,23,16,0,0,44,1,"1,212","1,257"
"Precinct 2118",879,453,23,25,0,0,65,1,"1,380","1,446"
"Precinct 2119",693,305,26,20,0,0,56,0,"1,044","1,100"
"Precinct 2201","1,152",324,36,30,0,0,67,0,"1,542","1,609"
"Precinct 2202",834,370,29,10,0,0,57,0,"1,243","1,300"
"Precinct 2203",643,296,19,11,0,0,27,1,969,997
"Precinct 2204",795,391,28,32,0,0,51,0,"1,246","1,297"
"Precinct 2205",879,444,27,22,0,0,71,4,"1,372","1,447"
"Precinct 2206","1,079",499,35,27,0,0,77,1,"1,640","1,718"
"Precinct 2207","1,145",589,29,17,0,0,104,0,"1,780","1,884"
"Precinct 2208",834,435,27,16,0,0,63,1,"1,312","1,376"
"Precinct 2209",615,357,34,18,0,0,49,1,"1,024","1,074"
"Precinct 2210",589,569,41,14,0,0,56,0,"1,213","1,269"
"Precinct 2211",824,457,17,20,0,0,36,0,"1,318","1,354"
"Precinct 2212",956,473,21,9,0,0,61,1,"1,459","1,521"
"Precinct 2213",606,481,33,23,0,0,77,0,"1,143","1,220"
"Precinct 2214",832,526,47,14,0,1,49,0,"1,420","1,469"
"Precinct 2215",634,421,29,22,0,0,45,0,"1,106","1,151"
"Precinct 2216","1,524",399,47,44,0,0,83,2,"2,014","2,099"
"Precinct 2217","1,514",627,41,20,0,0,121,1,"2,202","2,324"
"Precinct 2218",904,588,41,23,0,0,59,1,"1,556","1,616"
"Precinct 2219",725,446,42,21,0,0,42,0,"1,234","1,276"
"Precinct 2220",849,615,52,40,0,0,80,2,"1,556","1,638"
"Precinct 2221",814,574,35,23,0,0,62,0,"1,446","1,508"
"Precinct 2301",961,255,38,23,0,0,73,2,"1,277","1,352"
"Precinct 2302","1,509",428,41,33,0,0,89,0,"2,011","2,100"
"Precinct 2303","1,500",429,49,32,0,0,123,2,"2,010","2,135"
"Precinct 2304","1,499",391,40,23,0,0,66,0,"1,953","2,019"
"Precinct 2305",754,328,42,39,1,0,65,0,"1,164","1,229"
"Precinct 2306",832,335,29,22,0,0,56,0,"1,218","1,274"
"Precinct 2307",997,241,25,35,0,0,54,3,"1,298","1,355"
"Precinct 2308",851,292,29,34,0,0,53,0,"1,206","1,259"
"Precinct 2309",117,9,0,1,0,0,5,0,127,132
"Precinct 2310",925,247,26,26,0,0,42,2,"1,224","1,268"
Adams,"2,001",557,46,31,0,0,88,1,"2,635","2,724"
"Precinct 001 Indian Valley",181,22,3,0,0,0,8,0,206,214
"Precinct 002 Council",580,106,8,9,0,0,15,0,703,718
"Precinct 003 N. Council",527,116,15,11,0,0,35,0,669,704
"Precinct 005 New Meadows",654,303,20,10,0,0,28,1,987,"1,016"
