County,"Mike Simpson
Republican","David Roth
Democratic","Todd Corsetti
Libertarian","Idaho Law - Carta Sierra
Constitutional","Blank Votes","Spoiled Votes","Total Votes Cast","Total Ballots Cast"
Totals,"250,119","126,229","21,310","9,804","20,500",552,"407,462","428,514"
Ada,"55,964","66,903","5,921","2,086","5,865",173,"130,874","136,912"
"Precinct 1416",336,208,29,12,22,0,585,607
"Precinct 1417",940,346,54,32,57,7,"1,372","1,436"
"Precinct 1501",812,469,60,22,61,0,"1,363","1,424"
"Precinct 1502",582,428,52,8,56,1,"1,070","1,127"
"Precinct 1503",750,477,49,27,59,1,"1,303","1,363"
"Precinct 1504",655,575,64,23,45,5,"1,317","1,367"
"Precinct 1505",636,408,57,27,61,1,"1,128","1,190"
"Precinct 1506",666,461,59,9,76,1,"1,195","1,272"
"Precinct 1507",675,490,76,34,58,0,"1,275","1,333"
"Precinct 1508",694,600,63,32,51,7,"1,389","1,447"
"Precinct 1509",656,602,60,30,36,2,"1,348","1,386"
"Precinct 1510",703,643,73,28,75,0,"1,447","1,522"
"Precinct 1511",549,435,53,16,39,0,"1,053","1,092"
"Precinct 1512",617,490,43,28,52,3,"1,178","1,233"
"Precinct 1513",598,523,75,27,64,1,"1,223","1,288"
"Precinct 1514",534,531,57,17,44,2,"1,139","1,185"
"Precinct 1515",501,503,57,26,51,4,"1,087","1,142"
"Precinct 1516",580,445,49,20,58,4,"1,094","1,156"
"Precinct 1517",553,573,72,38,59,1,"1,236","1,296"
"Precinct 1518",565,483,65,17,67,1,"1,130","1,198"
"Precinct 1519",764,524,66,36,58,1,"1,390","1,449"
"Precinct 1520",605,484,46,19,45,2,"1,154","1,201"
"Precinct 1601",573,490,52,20,44,2,"1,135","1,181"
"Precinct 1602",591,710,51,14,43,1,"1,366","1,410"
"Precinct 1603",525,629,52,16,67,1,"1,222","1,290"
"Precinct 1604",451,867,54,24,43,5,"1,396","1,444"
"Precinct 1605",426,784,68,29,71,2,"1,307","1,380"
"Precinct 1606",423,812,46,13,44,1,"1,294","1,339"
"Precinct 1607",412,767,66,21,62,1,"1,266","1,329"
"Precinct 1608",366,921,55,17,80,2,"1,359","1,441"
"Precinct 1609",568,605,84,33,42,1,"1,290","1,333"
"Precinct 1610",580,756,76,30,105,1,"1,442","1,548"
"Precinct 1611",569,528,87,24,58,2,"1,208","1,268"
"Precinct 1612",421,539,37,11,42,0,"1,008","1,050"
"Precinct 1613",595,429,53,17,52,0,"1,094","1,146"
"Precinct 1614",552,537,68,17,61,0,"1,174","1,235"
"Precinct 1615",501,717,64,23,46,0,"1,305","1,351"
"Precinct 1616",482,576,50,28,47,4,"1,136","1,187"
"Precinct 1617",538,739,69,42,54,5,"1,388","1,447"
"Precinct 1618",502,571,62,15,49,2,"1,150","1,201"
"Precinct 1619",394,588,67,21,53,0,"1,070","1,123"
"Precinct 1701",869,527,78,21,54,5,"1,495","1,554"
