"JurisdictionID","JurisContainerID","JurisName","EISCandidateID","CandidateName","EISContestID","ContestName","PrecinctName","Registration","EISPartyID","PartyName","VoteCount"
"92","0","VERMILION","3405","Kamala D. Harris","120","PRESIDENT AND VICE PRESIDENT","BLOUNT 2","754","11","DEMOCRATIC","118"
"92","0","VERMILION","3405","Kamala D. Harris","120","PRESIDENT AND VICE PRESIDENT","DANVILLE 7","511","11","DEMOCRATIC","88"
"92","0","VERMILION","3405","Kamala D. Harris","120","PRESIDENT AND VICE PRESIDENT","GEORGETOWN 7","1088","11","DEMOCRATIC","232"
"92","0","VERMILION","3405","Kamala D. Harris","120","PRESIDENT AND VICE PRESIDENT","OAKWOOD 1","902","11","DEMOCRATIC","165"
"92","0","VERMILION","3405","Kamala D. Harris","120","PRESIDENT AND VICE PRESIDENT","VANCE","639","11","DEMOCRATIC","128"
"92","0","VERMILION","3400","Donald J. Trump","120","PRESIDENT AND VICE PRESIDENT","CATLIN 3","749","12","REPUBLICAN","456"
"92","0","VERMILION","3400","Donald J. Trump","120","PRESIDENT AND VICE PRESIDENT","DANVILLE 8","550","12","REPUBLICAN","281"
"92","0","VERMILION","3400","Donald J. Trump","120","PRESIDENT AND VICE PRESIDENT","GEORGETOWN 3","906","12","REPUBLICAN","389"
"92","0","VERMILION","3400","Donald J. Trump","120","PRESIDENT AND VICE PRESIDENT","LOVE","129","12","REPUBLICAN","75"
"92","0","VERMILION","3400","Donald J. Trump","120","PRESIDENT AND VICE PRESIDENT","OAKWOOD 2","684","12","REPUBLICAN","393"
"92","0","VERMILION","3400","Donald J. Trump","120","PRESIDENT AND VICE PRESIDENT","SIDELL","560","12","REPUBLICAN","342"
"92","0","VERMILION","125","Robert F. Kennedy Jr.","120","PRESIDENT AND VICE PRESIDENT","BUTLER","530","18","INDEPENDENT","1"
"92","0","VERMILION","125","Robert F. Kennedy Jr.","120","PRESIDENT AND VICE PRESIDENT","DANVILLE 8","550","18","INDEPENDENT","15"
"92","0","VERMILION","125","Robert F. Kennedy Jr.","120","PRESIDENT AND VICE PRESIDENT","GRANT 1","1076","18","INDEPENDENT","13"
"92","0","VERMILION","125","Robert F. Kennedy Jr.","120","PRESIDENT AND VICE PRESIDENT","OAKWOOD 2","684","18","INDEPENDENT","9"
"92","0","VERMILION","50001","WRITE-IN","120","PRESIDENT AND VICE PRESIDENT","CARROLL","302","99","NON-PARTISAN","0"
"92","0","VERMILION","50001","WRITE-IN","120","PRESIDENT AND VICE PRESIDENT","DANVILLE 13","305","99","NON-PARTISAN","1"
"92","0","VERMILION","50001","WRITE-IN","120","PRESIDENT AND VICE PRESIDENT","GRANT 2","983","99","NON-PARTISAN","1"
"92","0","VERMILION","50001","WRITE-IN","120","PRESIDENT AND VICE PRESIDENT","OAKWOOD 5","562","99","NON-PARTISAN","1"
"75","0","PIKE","3405","Kamala D. Harris","120","PRESIDENT AND VICE PRESIDENT","PITTSFIELD 4","591","11","Democratic","87"
"75","0","PIKE","3405","Kamala D. Harris","120","PRESIDENT AND VICE PRESIDENT","MARTINSBURG 1","281","11","Democratic","29"
"75","0","PIKE","3405","Kamala D. Harris","120","PRESIDENT AND VICE PRESIDENT","PLEASANT HILL 1","737","11","Democratic","104"
"75","0","PIKE","3405","Kamala D. Harris","120","PRESIDENT AND VICE PRESIDENT","HADLEY 1","170","11","Democratic","17"
"75","0","PIKE","3400","Donald J. Trump","120","PRESIDENT AND VICE PRESIDENT","HARDIN 1","155","12","Republican","94"
"75","0","PIKE","3400","Donald J. Trump","120","PRESIDENT AND VICE PRESIDENT","SPRING CREEK 1","324","12","Republican","204"
"75","0","PIKE","3400","Donald J. Trump","120","PRESIDENT AND VICE PRESIDENT","FAIRMOUNT 1","124","12","Republican","88"
"75","0","PIKE","125","Robert F. Kennedy Jr.","120","PRESIDENT AND VICE PRESIDENT","NEW SALEM 1","205","18","Independent","6"
"75","0","PIKE","125","Robert F. Kennedy Jr.","120","PRESIDENT AND VICE PRESIDENT","NEW SALEM 2","139","18","Independent","1"
"75","0","PIKE","125","Robert F. Kennedy Jr.","120","PRESIDENT AND VICE PRESIDENT","PITTSFIELD 1","883","18","Independent","9"
"75","0","PIKE","125","Robert F. Kennedy Jr.","120","PRESIDENT AND VICE PRESIDENT","PITTSFIELD 2","349","18","Independent","8"
"75","0","PIKE","50000","Write-In","120","PRESIDENT AND VICE PRESIDENT","CHAMBERSBURG 1","110","99","Nonpartisan","0"
"75","0","PIKE","50000","Write-In","120","PRESIDENT AND VICE PRESIDENT","KINDERHOOK 2","334","99","Nonpartisan","0"
"75","0","PIKE","50000","Write-In","120","PRESIDENT AND VICE PRESIDENT","CINCINNATI","16","99","Nonpartisan","0"
"75","0","PIKE","50000","Write-In","120","PRESIDENT AND VICE PRESIDENT","LEVEE 1","31","99","Nonpartisan","0"
"70","0","MOULTRIE","3405","Kamala D. Harris","120","PRESIDENT AND VICE PRESIDENT","LOVINGTON #2","571","11","DEMOCRATIC","105"
