county,municipality,ward,ballots_cast,registered_voters,registration_denominator_timing,source_url,source_level,notes
Jefferson,Town of Aztalan,"Town of Aztalan (W1,3)",562,582,unknown,https://apps.jeffersoncountywi.gov/jc/election/results/11052024,ward,"Jefferson County hosted 2024 Fall General Election results page. Registered-voter denominator timing is not stated, so the app treats it as unknown and warning-gated."
Jefferson,Town of Aztalan,"Town of Aztalan (W2,4)",341,352,unknown,https://apps.jeffersoncountywi.gov/jc/election/results/11052024,ward,"Jefferson County hosted 2024 Fall General Election results page. Registered-voter denominator timing is not stated, so the app treats it as unknown and warning-gated."
Jefferson,Town of Cold Spring,Town of Cold Spring (W1),502,499,unknown,https://apps.jeffersoncountywi.gov/jc/election/results/11052024,ward,"Jefferson County hosted 2024 Fall General Election results page. Registered-voter denominator timing is not stated, so the app treats it as unknown and warning-gated."
Jefferson,Town of Concord,"Town of Concord (W1,2)",1387,1417,unknown,https://apps.jeffersoncountywi.gov/jc/election/results/11052024,ward,"Jefferson County hosted 2024 Fall General Election results page. Registered-voter denominator timing is not stated, so the app treats it as unknown and warning-gated."
Jefferson,Town of Farmington,Town of Farmington (W1-3),993,1049,unknown,https://apps.jeffersoncountywi.gov/jc/election/results/11052024,ward,"Jefferson County hosted 2024 Fall General Election results page. Registered-voter denominator timing is not stated, so the app treats it as unknown and warning-gated."
Jefferson,Town of Hebron,"Town of Hebron (W1,2)",734,740,unknown,https://apps.jeffersoncountywi.gov/jc/election/results/11052024,ward,"Jefferson County hosted 2024 Fall General Election results page. Registered-voter denominator timing is not stated, so the app treats it as unknown and warning-gated."
Jefferson,Town of Ixonia,Town of Ixonia (W1-6),3239,3383,unknown,https://apps.jeffersoncountywi.gov/jc/election/results/11052024,ward,"Jefferson County hosted 2024 Fall General Election results page. Registered-voter denominator timing is not stated, so the app treats it as unknown and warning-gated."
Jefferson,Town of Jefferson,"Town of Jefferson (W1,2)",912,929,unknown,https://apps.jeffersoncountywi.gov/jc/election/results/11052024,ward,"Jefferson County hosted 2024 Fall General Election results page. Registered-voter denominator timing is not stated, so the app treats it as unknown and warning-gated."
Jefferson,Town of Jefferson,"Town of Jefferson (W3,4)",480,486,unknown,https://apps.jeffersoncountywi.gov/jc/election/results/11052024,ward,"Jefferson County hosted 2024 Fall General Election results page. Registered-voter denominator timing is not stated, so the app treats it as unknown and warning-gated."
Jefferson,Town of Koshkonong,Town of Koshkonong (W1-6),2420,2600,unknown,https://apps.jeffersoncountywi.gov/jc/election/results/11052024,ward,"Jefferson County hosted 2024 Fall General Election results page. Registered-voter denominator timing is not stated, so the app treats it as unknown and warning-gated."
Jefferson,Town of Lake Mills,Town of Lake Mills (W1-3),1585,1663,unknown,https://apps.jeffersoncountywi.gov/jc/election/results/11052024,ward,"Jefferson County hosted 2024 Fall General Election results page. Registered-voter denominator timing is not stated, so the app treats it as unknown and warning-gated."
Jefferson,Town of Milford,"Town of Milford (W1,2)",757,784,unknown,https://apps.jeffersoncountywi.gov/jc/election/results/11052024,ward,"Jefferson County hosted 2024 Fall General Election results page. Registered-voter denominator timing is not stated, so the app treats it as unknown and warning-gated."
Jefferson,Town of Oakland,Town of Oakland (W1-4),2243,2365,unknown,https://apps.jeffersoncountywi.gov/jc/election/results/11052024,ward,"Jefferson County hosted 2024 Fall General Election results page. Registered-voter denominator timing is not stated, so the app treats it as unknown and warning-gated."
Jefferson,Town of Palmyra,"Town of Palmyra (W1,2)",863,895,unknown,https://apps.jeffersoncountywi.gov/jc/election/results/11052024,ward,"Jefferson County hosted 2024 Fall General Election results page. Registered-voter denominator timing is not stated, so the app treats it as unknown and warning-gated."
Jefferson,Town of Sullivan,Town of Sullivan (W1-4),1576,1675,unknown,https://apps.jeffersoncountywi.gov/jc/election/results/11052024,ward,"Jefferson County hosted 2024 Fall General Election results page. Registered-voter denominator timing is not stated, so the app treats it as unknown and warning-gated."
Jefferson,Town of Sumner,Town of Sumner (W1),597,612,unknown,https://apps.jeffersoncountywi.gov/jc/election/results/11052024,ward,"Jefferson County hosted 2024 Fall General Election results page. Registered-voter denominator timing is not stated, so the app treats it as unknown and warning-gated."
Jefferson,Town of Waterloo,Town of Waterloo (W1),631,650,unknown,https://apps.jeffersoncountywi.gov/jc/election/results/11052024,ward,"Jefferson County hosted 2024 Fall General Election results page. Registered-voter denominator timing is not stated, so the app treats it as unknown and warning-gated."
