COUNTY|MUNICIPALITY|W/P|CG|SS|SR|CC|D|G|L|NL|R|U|TOTAL|
AND|AUBURN|1-1|2|20|89|5|590|78|37|66|424|534|1729|
AND|AUBURN|1-1|2|20|90|5|502|62|33|37|446|396|1476|
AND|AUBURN|2-1|2|20|89|5|224|25|19|24|145|192|629|
AND|AUBURN|2-1|2|20|90|5|1015|107|30|78|652|860|2742|
AND|AUBURN|3-1|2|20|88|5|695|91|18|40|699|682|2225|
AND|AUBURN|3-1|2|20|89|5|196|38|33|25|140|177|609|
AND|AUBURN|3-1|2|20|90|5|96|18|3|10|104|118|349|
AND|AUBURN|4-1|2|20|88|5|46|8|5|3|53|64|179|
AND|AUBURN|4-1|2|20|88|6|560|85|25|52|636|637|1995|
AND|AUBURN|4-1|2|20|89|5|258|57|24|33|149|228|749|
AND|AUBURN|5-1|2|20|88|6|640|95|28|60|633|661|2117|
AND|AUBURN|5-1|2|20|89|6|326|39|35|41|228|292|961|
AND|DURHAM|1-1|2|20|98|3|974|184|20|57|1101|1136|3472|
AND|GREENE|1-1|2|17|92|3|702|177|36|72|1245|973|3205|
AND|LEEDS|1-1|2|17|91|7|395|90|5|46|646|492|1674|
AND|LEWISTON|1-1|2|21|93|2|2174|149|69|128|710|1053|4283|
AND|LEWISTON|2-1|2|21|93|2|501|65|11|39|380|433|1429|
AND|LEWISTON|2-1|2|21|94|2|942|77|32|62|682|664|2459|
AND|LEWISTON|3-1|2|21|93|1|732|39|28|31|151|328|1309|
AND|LEWISTON|3-1|2|21|94|1|672|68|169|115|296|422|1742|
AND|LEWISTON|4-1|2|21|94|2|168|23|10|14|131|129|475|
AND|LEWISTON|4-1|2|21|95|2|299|45|16|24|232|228|844|
AND|LEWISTON|4-1|2|21|96|2|342|50|24|31|234|264|945|
AND|LEWISTON|4-1|2|21|96|3|362|41|17|24|299|282|1025|
AND|LEWISTON|5-1|2|21|94|1|171|27|26|29|97|142|492|
AND|LEWISTON|5-1|2|21|94|2|106|24|16|10|78|97|331|
AND|LEWISTON|5-1|2|21|95|1|530|28|120|52|112|270|1112|
AND|LEWISTON|6-1|2|21|95|3|276|33|26|25|197|153|710|
AND|LEWISTON|6-1|2|21|96|3|1015|148|48|98|1037|820|3166|
AND|LEWISTON|7-1|2|21|95|1|763|88|88|78|565|592|2174|
AND|LEWISTON|7-1|2|21|96|1|455|57|32|29|385|349|1307|
AND|LISBON|1-1|2|17|97|4|831|99|39|86|1217|1108|3380|
AND|LISBON|2-1|2|17|97|4|645|78|26|51|806|752|2358|
AND|LISBON|2-1|2|17|98|4|239|29|4|16|261|263|812|
AND|LIVERMORE|1-1|2|17|76|7|390|66|12|7|532|336|1343|
AND|LIVERMORE|1-1|2|17|77|7|83|13|2|1|129|73|301|
AND|LIVERMORE FALLS|1-1|2|17|76|7|452|84|18|42|672|591|1859|
AND|MECHANIC FALLS|1-1|2|18|87|6|518|125|23|36|779|679|2160|
AND|MINOT|1-1|2|18|90|7|483|124|24|52|849|601|2133|
AND|POLAND|1-1|2|20|86|6|67|18|3|4|101|95|288|
AND|POLAND|1-1|2|20|87|6|1059|200|13|46|1401|1210|3929|
AND|SABATTUS|1-1|2|17|92|4|896|158|48|83|1417|1057|3659|
AND|TURNER|1-1|2|17|91|7|999|149|47|78|1829|1332|4434|
AND|WALES|1-1|2|17|56|4|189|58|11|22|453|395|1128|
ARO|ALLAGASH|1-1|2|1|1|3|77|12|0|0|66|55|210|
ARO|AMITY|1-1|2|2|8|1|25|3|2|4|83|71|188|
ARO|ASHLAND|1-1|2|1|1|2|190|17|3|17|312|329|868|
ARO|BENEDICTA TWP|1-1|2|2|8|1|29|4|1|0|57|51|142|
ARO|BLAINE|1-1|2|2|6|1|75|12|2|7|261|143|500|
ARO|BRIDGEWATER|1-1|2|2|6|1|67|17|0|1|175|120|380|
ARO|CARIBOU|1-1|2|1|4|2|1211|178|17|77|1856|1393|4732|
