"County","Office","Candidate","Party","County Total","State Total"
"Adams","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","6743","465357"
"Alcorn","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","2328","465357"
"Amite","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","2246","465357"
"Attala","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","2930","465357"
"Benton","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","1318","465357"
"Bolivar","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","6419","465357"
"Calhoun","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","1547","465357"
"Carroll","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","1431","465357"
"Chickasaw","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","3090","465357"
"Choctaw","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","965","465357"
"Claiborne","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","2950","465357"
"Clarke","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","2430","465357"
"Clay","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","4960","465357"
"Coahoma","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","4711","465357"
"Copiah","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","5426","465357"
"Covington","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","2921","465357"
"DeSoto","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","29023","465357"
"Forrest","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","11475","465357"
"Franklin","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","1213","465357"
"George","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","1138","465357"
"Greene","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","835","465357"
"Grenada","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","4060","465357"
"Hancock","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","4262","465357"
"Harrison","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","26555","465357"
"Hinds","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","62840","465357"
"Holmes","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","5420","465357"
"Humphreys","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","2443","465357"
"Issaquena","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","287","465357"
"Itawamba","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","1027","465357"
"Jackson","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","15469","465357"
"Jasper","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","3722","465357"
"Jeff Davis","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","3041","465357"
"Jefferson","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","2727","465357"
"Jones","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","7272","465357"
"Kemper","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","2381","465357"
"Lafayette","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","8956","465357"
