"county","harris","trump","oliver","stein","terry","ayyadurai","deLaCruz","kennedy","sonski","totalVotesCast"
"Adams County","6743","5081","18","14","13","4","6","37","12","11928"
"Alcorn County","2328","12657","26","12","11","3","3","58","14","15112"
"Amite County","2246","4484","17","11","11","7","8","23","8","6815"
"Attala County","2930","4723","4","3","10","4","4","25","0","7703"
"Benton County","1318","2535","5","4","1","3","1","13","0","3880"
"Bolivar County","6419","3943","9","12","4","3","9","30","6","10435"
"Calhoun County","1547","4443","9","0","7","3","5","20","0","6034"
"Carroll County","1431","3730","1","3","3","2","5","18","1","5194"
"Chickasaw County","3090","4079","11","4","9","5","4","27","5","7234"
"Choctaw County","965","2881","7","7","4","4","0","21","1","3890"
"Claiborne County","2950","558","2","4","2","3","7","14","1","3541"
"Clarke County","2430","5093","10","5","4","1","2","23","3","7571"
"Clay County","4960","4017","12","9","5","8","4","38","4","9057"
"Coahoma County","4711","2008","7","5","6","5","7","39","2","6790"
"Copiah County","5426","6134","14","8","9","6","7","50","11","11665"
"Covington County","2921","5869","12","7","6","5","5","34","2","8861"
"DeSoto County","29023","48064","234","267","127","126","334","701","206","79082"
"Forrest County","11475","16579","77","69","23","12","35","168","28","28466"
"Franklin County","1213","2831","2","2","1","1","1","13","2","4066"
"George County","1138","9858","12","12","6","1","7","28","7","11069"
"Greene County","835","4776","12","1","5","4","2","13","1","5649"
"Grenada County","4060","5651","8","11","2","2","4","28","0","9766"
"Hancock County","4262","16684","54","32","15","11","19","81","17","21175"
"Harrison County","26555","48497","212","139","53","32","43","345","47","75923"
"Hinds County","62840","22816","165","203","86","63","99","468","90","86830"
"Holmes County","5420","1243","8","15","3","10","1","27","3","6730"
"Humphreys County","2443","990","5","6","3","6","5","10","0","3468"
"Issaquena County","287","296","5","7","5","5","6","6","5","622"
"Itawamba County","1027","9523","16","7","7","2","5","29","5","10621"
"Jackson County","15469","36376","143","102","31","12","32","216","29","52410"
"Jasper County","3722","4118","9","5","5","6","3","20","2","7890"
"Jefferson County","2727","541","4","3","3","4","1","15","1","3299"
"Jefferson Davis County","3041","2302","3","4","4","4","2","16","2","5378"
"Jones County","7272","20265","48","22","19","4","13","104","8","27755"
"Kemper County","2381","1691","5","1","1","2","1","3","1","4086"
"Lafayette County","8956","14050","81","94","20","6","25","143","34","23409"
"Lamar County","7038","20775","74","42","33","13","26","130","40","28171"
"Lauderdale County","10677","16487","42","26","18","13","14","114","16","27407"
"Lawrence County","1899","4113","13","3","2","2","0","19","2","6053"
"Leake County","3182","5143","6","7","4","5","5","25","3","8380"
"Lee County","10616","24339","89","53","23","9","16","159","34","35338"
"Leflore County","6476","2854","18","12","9","2","5","41","4","9421"
"Lincoln County","4262","11432","26","12","11","3","6","40","10","15802"
"Lowndes County","11096","13087","46","27","13","20","13","102","22","24426"
"Madison County","22700","32333","169","109","33","27","30","253","56","55710"
"Marion County","3215","7874","21","5","8","6","10","41","8","11188"
"Marshall County","6888","7977","22","14","9","5","10","52","6","14983"
"Monroe County","5090","10861","16","15","11","8","8","57","3","16069"
"Montgomery County","1737","2658","5","1","5","3","3","8","4","4424"
"Neshoba County","2622","8154","7","9","8","3","4","47","7","10861"
"Newton County","2603","6641","18","10","10","4","2","34","1","9323"
"Noxubee County","3269","1151","5","2","5","3","3","10","1","4449"
"Oktibbeha County","8851","8901","65","48","17","14","26","96","33","18051"
"Panola County","6061","8202","16","18","14","13","9","80","9","14422"
"Pearl River County","3982","20438","64","34","18","10","11","101","13","24671"
"Perry County","1078","4425","8","8","4","4","2","9","1","5539"
"Pike County","6091","6504","17","15","11","9","7","52","9","12715"
"Pontotoc County","2214","11740","21","13","11","6","4","52","7","14068"
"Prentiss County","1727","8581","12","10","10","2","5","29","5","10381"
"Quitman County","1725","902","9","2","5","8","10","15","1","2677"
"Rankin County","18060","50896","220","104","51","32","28","223","64","69678"
"Scott County","3729","6098","6","6","3","2","13","32","2","9891"
"Sharkey County","1201","551","1","4","0","4","1","4","0","1766"
"Simpson County","3479","7552","11","5","13","4","6","24","0","11094"
"Smith County","1486","6146","7","3","8","2","1","20","3","7676"
"Stone County","1620","6214","21","4","16","2","4","26","12","7919"
"Sunflower County","5312","2515","10","4","4","4","3","20","4","7876"
"Tallahatchie County","2630","2333","5","3","8","6","4","21","2","5012"
"Tate County","3555","9185","29","12","4","3","8","52","13","12861"
"Tippah County","1547","7984","11","5","9","4","4","27","0","9591"
"Tishomingo County","921","8064","17","10","2","3","3","30","0","9050"
"Tunica County","1837","799","3","1","2","1","3","21","1","2668"
"Union County","1807","10559","12","17","12","4","6","52","9","12478"
"Walthall County","2355","4114","13","7","5","1","3","27","4","6529"
"Warren County","8683","9407","35","33","19","11","8","84","18","18298"
"Washington County","9735","4649","22","15","16","11","13","73","6","14540"
"Wayne County","3028","6013","12","6","8","4","3","44","1","9119"
"Webster County","872","4195","5","5","4","2","1","9","2","5095"
"Wilkinson County","1817","1075","8","1","3","1","6","20","0","2931"
"Winston County","3392","4922","8","12","8","6","1","31","4","8384"
"Yalobusha County","2289","3518","12","3","6","4","3","40","3","5878"
"Yazoo County","4342","4558","9","6","11","5","7","31","2","8971"
"Totals","465357","746305","2533","1871","1028","687","1073","5381","1003","1225238"
