abs_request_type,party_cd,gender,race,ethnicity,0
CIVILIAN,CST,FEMALE,ASIAN,HISPANIC or LATINO,0
CIVILIAN,CST,FEMALE,ASIAN,NOT HISPANIC or NOT LATINO,0
CIVILIAN,CST,FEMALE,ASIAN,UNDESIGNATED,1
CIVILIAN,CST,FEMALE,BLACK or AFRICAN AMERICAN,HISPANIC or LATINO,0
CIVILIAN,CST,FEMALE,BLACK or AFRICAN AMERICAN,NOT HISPANIC or NOT LATINO,2
CIVILIAN,CST,FEMALE,BLACK or AFRICAN AMERICAN,UNDESIGNATED,0
CIVILIAN,CST,FEMALE,INDIAN AMERICAN or ALASKA NATIVE,HISPANIC or LATINO,0
CIVILIAN,CST,FEMALE,INDIAN AMERICAN or ALASKA NATIVE,NOT HISPANIC or NOT LATINO,0
CIVILIAN,CST,FEMALE,INDIAN AMERICAN or ALASKA NATIVE,UNDESIGNATED,0
CIVILIAN,CST,FEMALE,NATIVE HAWAIIAN or PACIFIC ISLANDER,HISPANIC or LATINO,0
CIVILIAN,CST,FEMALE,NATIVE HAWAIIAN or PACIFIC ISLANDER,NOT HISPANIC or NOT LATINO,0
CIVILIAN,CST,FEMALE,NATIVE HAWAIIAN or PACIFIC ISLANDER,UNDESIGNATED,0
CIVILIAN,CST,FEMALE,OTHER,HISPANIC or LATINO,0
CIVILIAN,CST,FEMALE,OTHER,NOT HISPANIC or NOT LATINO,0
CIVILIAN,CST,FEMALE,OTHER,UNDESIGNATED,0
CIVILIAN,CST,FEMALE,TWO or MORE RACES,HISPANIC or LATINO,0
CIVILIAN,CST,FEMALE,TWO or MORE RACES,NOT HISPANIC or NOT LATINO,0
CIVILIAN,CST,FEMALE,TWO or MORE RACES,UNDESIGNATED,0
CIVILIAN,CST,FEMALE,UNDESIGNATED,HISPANIC or LATINO,0
CIVILIAN,CST,FEMALE,UNDESIGNATED,NOT HISPANIC or NOT LATINO,0
CIVILIAN,CST,FEMALE,UNDESIGNATED,UNDESIGNATED,0
CIVILIAN,CST,FEMALE,WHITE,HISPANIC or LATINO,0
CIVILIAN,CST,FEMALE,WHITE,NOT HISPANIC or NOT LATINO,1
CIVILIAN,CST,FEMALE,WHITE,UNDESIGNATED,1
CIVILIAN,CST,MALE,ASIAN,HISPANIC or LATINO,0
CIVILIAN,CST,MALE,ASIAN,NOT HISPANIC or NOT LATINO,0
CIVILIAN,CST,MALE,ASIAN,UNDESIGNATED,0
CIVILIAN,CST,MALE,BLACK or AFRICAN AMERICAN,HISPANIC or LATINO,0
CIVILIAN,CST,MALE,BLACK or AFRICAN AMERICAN,NOT HISPANIC or NOT LATINO,0
CIVILIAN,CST,MALE,BLACK or AFRICAN AMERICAN,UNDESIGNATED,0
CIVILIAN,CST,MALE,INDIAN AMERICAN or ALASKA NATIVE,HISPANIC or LATINO,0
CIVILIAN,CST,MALE,INDIAN AMERICAN or ALASKA NATIVE,NOT HISPANIC or NOT LATINO,0
CIVILIAN,CST,MALE,INDIAN AMERICAN or ALASKA NATIVE,UNDESIGNATED,0
