ContestName,PartyCode,AreaNum,CandidateName,VoteFor,CandidateVotes,CandidatePercentage,PrecinctsReporting
"President & Vice-President of the United States","REP","","Trump and Vance",1,962,80.10%,1/1,"Adams",
"President & Vice-President of the United States","DEM","","Harris and Walz",1,215,17.90%,1/1,"Adams",
"President & Vice-President of the United States","LIB","","Oliver and Maat",1,14,1.17%,1/1,"Adams",
"President & Vice-President of the United States","NON","","write-in ",1,10,0.83%,1/1,"Adams",
"President & Vice-President of the United States","REP","","Trump and Vance",1,3531,66.14%,15/15,"Barnes",
"President & Vice-President of the United States","DEM","","Harris and Walz",1,1661,31.11%,15/15,"Barnes",
"President & Vice-President of the United States","LIB","","Oliver and Maat",1,102,1.91%,15/15,"Barnes",
"President & Vice-President of the United States","NON","","write-in ",1,45,0.84%,15/15,"Barnes",
"President & Vice-President of the United States","REP","","Trump and Vance",1,1163,58.09%,8/8,"Benson",
"President & Vice-President of the United States","DEM","","Harris and Walz",1,795,39.71%,8/8,"Benson",
"President & Vice-President of the United States","LIB","","Oliver and Maat",1,36,1.80%,8/8,"Benson",
"President & Vice-President of the United States","NON","","write-in ",1,8,0.40%,8/8,"Benson",
"President & Vice-President of the United States","REP","","Trump and Vance",1,543,83.93%,3/3,"Billings",
"President & Vice-President of the United States","DEM","","Harris and Walz",1,93,14.37%,3/3,"Billings",
"President & Vice-President of the United States","LIB","","Oliver and Maat",1,8,1.24%,3/3,"Billings",
"President & Vice-President of the United States","NON","","write-in ",1,3,0.46%,3/3,"Billings",
"President & Vice-President of the United States","REP","","Trump and Vance",1,2628,76.24%,5/5,"Bottineau",
"President & Vice-President of the United States","DEM","","Harris and Walz",1,735,21.32%,5/5,"Bottineau",
"President & Vice-President of the United States","LIB","","Oliver and Maat",1,59,1.71%,5/5,"Bottineau",
"President & Vice-President of the United States","NON","","write-in ",1,25,0.73%,5/5,"Bottineau",
"President & Vice-President of the United States","REP","","Trump and Vance",1,1384,85.54%,4/4,"Bowman",
"President & Vice-President of the United States","DEM","","Harris and Walz",1,207,12.79%,4/4,"Bowman",
"President & Vice-President of the United States","LIB","","Oliver and Maat",1,20,1.24%,4/4,"Bowman",
"President & Vice-President of the United States","NON","","write-in ",1,7,0.43%,4/4,"Bowman",
"President & Vice-President of the United States","REP","","Trump and Vance",1,909,86.08%,6/6,"Burke",
"President & Vice-President of the United States","DEM","","Harris and Walz",1,130,12.31%,6/6,"Burke",
"President & Vice-President of the United States","LIB","","Oliver and Maat",1,12,1.14%,6/6,"Burke",
"President & Vice-President of the United States","NON","","write-in ",1,5,0.47%,6/6,"Burke",
"President & Vice-President of the United States","REP","","Trump and Vance",1,36595,70.02%,30/30,"Burleigh",
"President & Vice-President of the United States","DEM","","Harris and Walz",1,14215,27.20%,30/30,"Burleigh",
"President & Vice-President of the United States","LIB","","Oliver and Maat",1,954,1.83%,30/30,"Burleigh",
"President & Vice-President of the United States","NON","","write-in ",1,499,0.95%,30/30,"Burleigh",
"President & Vice-President of the United States","REP","","Trump and Vance",1,47873,52.69%,34/34,"Cass",
"President & Vice-President of the United States","DEM","","Harris and Walz",1,40304,44.36%,34/34,"Cass",
"President & Vice-President of the United States","LIB","","Oliver and Maat",1,1665,1.83%,34/34,"Cass",
"President & Vice-President of the United States","NON","","write-in ",1,1009,1.11%,34/34,"Cass",
"President & Vice-President of the United States","REP","","Trump and Vance",1,1461,73.53%,3/3,"Cavalier",
"President & Vice-President of the United States","DEM","","Harris and Walz",1,491,24.71%,3/3,"Cavalier",
"President & Vice-President of the United States","LIB","","Oliver and Maat",1,25,1.26%,3/3,"Cavalier",
"President & Vice-President of the United States","NON","","write-in ",1,10,0.50%,3/3,"Cavalier",
"President & Vice-President of the United States","REP","","Trump and Vance",1,1829,74.56%,1/1,"Dickey",
"President & Vice-President of the United States","DEM","","Harris and Walz",1,557,22.71%,1/1,"Dickey",
"President & Vice-President of the United States","LIB","","Oliver and Maat",1,49,2.00%,1/1,"Dickey",
"President & Vice-President of the United States","NON","","write-in ",1,18,0.73%,1/1,"Dickey",
"President & Vice-President of the United States","REP","","Trump and Vance",1,914,76.10%,4/4,"Divide",
"President & Vice-President of the United States","DEM","","Harris and Walz",1,253,21.07%,4/4,"Divide",
"President & Vice-President of the United States","LIB","","Oliver and Maat",1,27,2.25%,4/4,"Divide",
"President & Vice-President of the United States","NON","","write-in ",1,7,0.58%,4/4,"Divide",
"President & Vice-President of the United States","REP","","Trump and Vance",1,1877,83.72%,10/10,"Dunn",
"President & Vice-President of the United States","DEM","","Harris and Walz",1,332,14.81%,10/10,"Dunn",
"President & Vice-President of the United States","LIB","","Oliver and Maat",1,22,0.98%,10/10,"Dunn",
"President & Vice-President of the United States","NON","","write-in ",1,11,0.49%,10/10,"Dunn",
"President & Vice-President of the United States","REP","","Trump and Vance",1,862,71.54%,3/3,"Eddy",
"President & Vice-President of the United States","DEM","","Harris and Walz",1,316,26.22%,3/3,"Eddy",
"President & Vice-President of the United States","LIB","","Oliver and Maat",1,23,1.91%,3/3,"Eddy",
"President & Vice-President of the United States","NON","","write-in ",1,4,0.33%,3/3,"Eddy",
"President & Vice-President of the United States","REP","","Trump and Vance",1,1697,87.93%,5/5,"Emmons",
"President & Vice-President of the United States","DEM","","Harris and Walz",1,205,10.62%,5/5,"Emmons",
"President & Vice-President of the United States","LIB","","Oliver and Maat",1,21,1.09%,5/5,"Emmons",
"President & Vice-President of the United States","NON","","write-in ",1,7,0.36%,5/5,"Emmons",
"President & Vice-President of the United States","REP","","Trump and Vance",1,1326,77.86%,1/1,"Foster",
"President & Vice-President of the United States","DEM","","Harris and Walz",1,335,19.67%,1/1,"Foster",
"President & Vice-President of the United States","LIB","","Oliver and Maat",1,31,1.82%,1/1,"Foster",
"President & Vice-President of the United States","NON","","write-in ",1,11,0.65%,1/1,"Foster",
"President & Vice-President of the United States","REP","","Trump and Vance",1,847,85.47%,1/1,"Golden Valley",
"President & Vice-President of the United States","DEM","","Harris and Walz",1,122,12.31%,1/1,"Golden Valley",
"President & Vice-President of the United States","LIB","","Oliver and Maat",1,15,1.51%,1/1,"Golden Valley",
"President & Vice-President of the United States","NON","","write-in ",1,7,0.71%,1/1,"Golden Valley",
"President & Vice-President of the United States","REP","","Trump and Vance",1,18123,57.70%,20/20,"Grand Forks",
"President & Vice-President of the United States","DEM","","Harris and Walz",1,12469,39.70%,20/20,"Grand Forks",
"President & Vice-President of the United States","LIB","","Oliver and Maat",1,497,1.58%,20/20,"Grand Forks",
"President & Vice-President of the United States","NON","","write-in ",1,322,1.03%,20/20,"Grand Forks",
"President & Vice-President of the United States","REP","","Trump and Vance",1,1076,82.39%,5/5,"Grant",
"President & Vice-President of the United States","DEM","","Harris and Walz",1,205,15.70%,5/5,"Grant",
"President & Vice-President of the United States","LIB","","Oliver and Maat",1,23,1.76%,5/5,"Grant",
"President & Vice-President of the United States","NON","","write-in ",1,2,0.15%,5/5,"Grant",
"President & Vice-President of the United States","REP","","Trump and Vance",1,963,74.71%,5/5,"Griggs",
"President & Vice-President of the United States","DEM","","Harris and Walz",1,301,23.35%,5/5,"Griggs",
"President & Vice-President of the United States","LIB","","Oliver and Maat",1,21,1.63%,5/5,"Griggs",
"President & Vice-President of the United States","NON","","write-in ",1,4,0.31%,5/5,"Griggs",
"President & Vice-President of the United States","REP","","Trump and Vance",1,1089,83.38%,2/2,"Hettinger",
"President & Vice-President of the United States","DEM","","Harris and Walz",1,192,14.70%,2/2,"Hettinger",
"President & Vice-President of the United States","LIB","","Oliver and Maat",1,13,1.00%,2/2,"Hettinger",
"President & Vice-President of the United States","NON","","write-in ",1,12,0.92%,2/2,"Hettinger",
"President & Vice-President of the United States","REP","","Trump and Vance",1,1137,81.33%,6/6,"Kidder",
"President & Vice-President of the United States","DEM","","Harris and Walz",1,238,17.02%,6/6,"Kidder",
"President & Vice-President of the United States","LIB","","Oliver and Maat",1,16,1.14%,6/6,"Kidder",
"President & Vice-President of the United States","NON","","write-in ",1,7,0.50%,6/6,"Kidder",
