,,Martin Heinrich,Nella Louise Domenici,Total Votes Cast,Total Ballots Cast
,,Democratic,Republican,,
State,New Mexico,497333,405978,903311,903311
County,Bernalillo,187163,117575,304738,304738
Precinct,1,224,140,364,364
Precinct,2,385,283,668,668
Precinct,3,152,188,340,340
Precinct,4,356,236,592,592
Precinct,5,313,149,462,462
Precinct,6,355,237,592,592
Precinct,7,341,187,528,528
Precinct,8,197,120,317,317
Precinct,9,410,311,721,721
Precinct,10,317,204,521,521
Precinct,11,382,144,526,526
Precinct,12,271,133,404,404
Precinct,13,440,219,659,659
Precinct,14,426,221,647,647
Precinct,15,261,186,447,447
Precinct,16,227,118,345,345
Precinct,17,386,190,576,576
Precinct,18,437,268,705,705
Precinct,19,281,271,552,552
Precinct,20,336,252,588,588
Precinct,21,195,148,343,343
Precinct,22,205,178,383,383
Precinct,23,247,153,400,400
Precinct,24,363,190,553,553
Precinct,25,286,262,548,548
Precinct,26,395,210,605,605
Precinct,27,465,230,695,695
Precinct,28,340,186,526,526
Precinct,29,348,202,550,550
Precinct,30,487,200,687,687
Precinct,31,375,132,507,507
Precinct,32,206,102,308,308
Precinct,33,250,125,375,375
Precinct,34,239,131,370,370
Precinct,35,263,131,394,394
Precinct,36,353,161,514,514
Precinct,37,236,95,331,331
Precinct,38,284,162,446,446
Precinct,39,256,136,392,392
Precinct,40,363,212,575,575
Precinct,41,306,158,464,464
Precinct,42,314,170,484,484
Precinct,43,284,157,441,441
Precinct,44,125,91,216,216
Precinct,45,252,157,409,409
Precinct,46,416,240,656,656
Precinct,47,199,104,303,303
Precinct,48,184,81,265,265
Precinct,49,48,18,66,66
Precinct,50,339,205,544,544
Precinct,51,335,157,492,492
Precinct,52,297,206,503,503
Precinct,53,258,148,406,406
Precinct,54,453,287,740,740
Precinct,55,196,138,334,334
Precinct,56,188,151,339,339
Precinct,57,747,362,1109,1109
Precinct,58,134,69,203,203
Precinct,59,255,198,453,453
Precinct,60,288,187,475,475
Precinct,61,297,178,475,475
Precinct,62,289,122,411,411
Precinct,63,181,71,252,252
Precinct,64,152,62,214,214
Precinct,65,349,188,537,537
Precinct,66,319,204,523,523
Precinct,67,460,164,624,624
Precinct,68,134,135,269,269
Precinct,69,336,207,543,543
Precinct,70,311,259,570,570
Precinct,71,401,225,626,626
Precinct,72,204,87,291,291
Precinct,73,202,183,385,385
Precinct,74,274,226,500,500
Precinct,75,182,118,300,300
Precinct,76,273,181,454,454
Precinct,77,255,215,470,470
Precinct,78,235,174,409,409
