,,Kirsten E. Gillibrand,Kirsten E. Gillibrand,Michael D. Sapraicone,Michael D. Sapraicone,Diane Sare,Scattering,Blank,Void,Total Votes
,,Democratic,Working Families,Republican,Conservative,LaRouche,,,,
State,New York,4319140,392529,2917561,329129,39421,13490,365232,4895,8381397
County,Albany,85896,9335,43153,6352,805,229,5142,93,151005
County,Allegany,5568,632,12244,1384,80,17,663,0,20588
County,Bronx,245444,15549,74118,6451,2459,810,22515,0,367346
County,Broome,42415,4634,36636,3721,472,102,3800,43,91823
County,Cattaraugus,10926,1246,18557,2218,139,1,1396,40,34523
County,Cayuga,14774,1578,16677,2296,151,22,1266,21,36785
County,Chautauqua,20949,2489,27668,3954,191,26,2200,41,57518
County,Chemung,14632,1203,18449,2029,145,16,1492,34,38000
County,Chenango,7748,905,12062,988,102,15,933,23,22776
County,Clinton,16900,1714,14718,1391,143,17,1324,31,36238
County,Columbia,18715,2630,12020,1870,177,51,845,18,36326
County,Cortland,9454,1015,9873,1068,124,12,784,0,22330
County,Delaware,8769,1083,11586,1034,111,17,786,15,23401
County,Dutchess,75540,7446,58673,7198,633,109,4807,169,154575
County,Erie,231473,21309,158669,28878,1926,569,20401,350,463575
County,Essex,9149,883,7671,680,65,3,1059,19,19529
County,Franklin,8519,838,8713,768,64,6,738,16,19662
County,Fulton,7446,845,13178,1271,85,12,1326,28,24191
County,Genesee,8711,1025,15698,2173,113,13,1060,28,28821
County,Greene,9650,1483,11751,1684,123,21,966,10,25688
County,Hamilton,1168,115,1873,180,13,0,90,3,3442
County,Herkimer,8591,1080,15960,1806,109,13,1450,15,29024
County,Jefferson,15832,1679,21574,1903,127,23,2088,84,43310
County,Kings,532534,75537,177888,16743,5631,3445,50132,0,861910
County,Lewis,3676,487,7430,669,57,6,909,12,13246
County,Livingston,11550,1280,15282,2088,127,17,1106,11,31461
County,Madison,13633,1505,15700,2027,157,35,1173,35,34265
County,Monroe,195663,17769,119791,20973,1661,193,12046,245,368341
County,Montgomery,7352,911,10151,1232,82,11,1169,14,20922
County,Nassau,329230,15590,319888,25451,2216,1082,28257,915,722629
County,New York ,484235,41081,99546,7518,3872,1842,28505,0,666599
County,Niagara,40688,3953,46442,7409,409,53,4578,41,103573
County,Oneida,37674,4186,48984,5072,429,45,5043,94,101527
County,Onondaga,123629,11078,76752,11795,1073,209,7041,130,231707
County,Ontario,27615,2309,25159,3765,226,22,1687,31,60814
County,Orange,83236,5878,70686,7623,762,125,9960,232,178502
County,Orleans,4911,569,10276,1292,54,6,1179,14,18301
County,Oswego,18967,2069,28016,3200,250,35,2124,49,54710
County,Otsego,12103,1242,12400,1556,198,24,1240,20,28783
County,Putnam,23138,1782,26529,2781,202,29,1918,42,56421
County,Queens,413547,37813,216552,15855,4565,2138,31467,0,721937
County,Rensselaer ,36983,4967,29614,5451,417,90,2189,41,79752
County,Richmond,68537,5654,112073,7885,1049,573,5813,0,201584
County,Rockland,68480,3523,58634,5448,397,202,15366,199,152249
County,Saratoga,63038,5441,52585,6989,582,51,4099,32,132817
County,Schenectady,37060,3566,23932,4749,416,75,3264,50,73112
County,Schoharie,5356,800,8421,1074,79,9,476,16,16231
County,Schuyler,3418,397,4919,521,33,4,278,9,9579
County,Seneca,6160,643,6965,804,53,5,579,18,15227
County,St. Lawrence,17437,1885,20600,2127,155,15,2330,0,44549
County,Steuben,14439,1418,25889,2478,117,22,1408,51,45822
County,Suffolk,327905,21043,347327,42104,2273,487,28859,1215,771213
County,Sullivan,13970,1785,15192,1930,148,28,2573,18,35644
County,Tioga,9002,753,12881,1155,86,4,925,33,24839
County,Tompkins,29380,5104,9723,1015,289,61,1709,26,47307
County,Ulster,51499,8865,30984,4905,565,64,3079,63,100024
County,Warren,16545,1617,14997,1731,139,28,1222,39,36318
County,Washington,11116,1423,13490,1731,132,19,941,45,28897
County,Wayne,15973,1674,22108,3578,149,11,1485,37,45015
County,Westchester,272404,15203,141331,12956,1899,303,20885,0,464981
County,Wyoming,4718,612,11829,1439,79,6,708,24,19415
County,Yates,4070,401,5074,713,36,12,379,13,10698
