state,review_graph_status,collection_status,authority,source_title,source_url,local_file,row_level,has_president_rows,comparison_contest_status,parser_fit,next_step,caveats,checked_at
AK,missing,local_row_source_collected,Alaska Division of Elections,Alaska official precinct detail,https://www.elections.alaska.gov/results/24GENR/ENRbyPrecinct.csv,data/ak-2024-general-enr-by-precinct.csv; data/ak-app-data.js,precinct plus district-level rows,true,comparison contest present in ENR CSV; needs mapping,new Alaska ENR precinct review parser,Map President and U.S. Representative rows from ENRbyPrecinct.csv into review rows.,HD99 is non-geographic and should remain documented separately from mapped district rows.,2026-06-08
AR,missing,official_portal_identified_no_download,Arkansas Secretary of State,Arkansas SOS 2024 General Election TotalResults portal,https://enr.totalresults.com/arkansas,data/ar-2024-general-fed-results.json; data/ar-app-data.js,county in current payload; precinct export not exposed,false,needs precinct/export confirmation,TotalResults portal inspection or SOS data request,"Inspect TotalResults network payloads for precinct endpoints; if unavailable, use SOS guidance to request 2024 precinct data.",Arkansas SOS election-results page notes some downloads are temporarily unavailable during vendor transition.,2026-06-08
AZ,missing,county_local_sources_partially_collected,Arizona Secretary of State,Arizona county official precinct summary/canvass reports,data/az-2024-county-source-manifest.json,data/az-2024-county-source-manifest.json; data/az-2024-county-source-status.json,county-local precinct/counting group,true,varies by county report,county PDF/HTML precinct parser family,Complete county-by-county report collection and normalize report-specific precinct sections.,No single statewide precinct results export has been identified; county report layouts vary.,2026-06-08
CA,missing,county_local_required,California Secretary of State,California county official Statements of Vote / precinct reports,https://www.sos.ca.gov/elections/prior-elections/statewide-election-results/general-election-nov-5-2024/statement-vote,data/ca-2024-president-by-county.xlsx; data/ca-app-data.js,county-local precinct,true,varies by county SOV,county PDF/CSV/XLS parser family,Collect county SOV or precinct result files from county election offices; statewide SOS SOV is county-level.,California SOS official statewide results page points to final official results but not a statewide precinct export.,2026-06-08
CO,missing,statewide_precinct_source_identified,Colorado Secretary of State,2024 General Election Precinct-Level Results,https://redistrictingdatahub.org/state/colorado/,data/co-2024-president-county-results.csv; data/co-app-data.js,precinct,true,likely present; inspect fields after download,Colorado SOS precinct results parser,Download the Colorado Secretary of State precinct-level results package and map President plus a statewide/congressional comparison contest.,RDH indexes the source as Colorado Secretary of State; prefer a direct SOS download URL if exposed during download.,2026-06-08
CT,missing,local_row_source_collected,Connecticut Secretary of the State,Connecticut official town presidential rows,https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf,data/ct-2024-statement-of-vote.txt; data/ct-app-data.js,town,true,town-level comparison contest needs mapping,Connecticut Statement of Vote town comparison parser,Map a statewide down-ballot contest from the Statement of Vote text to the same town rows.,App geometry is planning-region level; review graph rows can be town-level source rows without polygon geometry.,2026-06-08
DE,missing,local_row_source_collected,Delaware Department of Elections,Delaware election-district report,https://elections.delaware.gov/reports/GE2024.html,data/de-2024-general-election-report.html; data/de-app-data.js,election district,true,comparison contest needs mapping,Delaware report HTML election-district parser,Map President and a statewide comparison race from the official report page election-district rows.,County map remains county-level while review graph rows can use election-district labels.,2026-06-08
GA,missing,county_local_required,Georgia Secretary of State,Georgia county official Statement of Votes Cast reports,https://results.sos.ga.gov/results/public/Georgia/2024NovGen,data/ga-2024-total-votes-results.xlsx; data/ga-app-data.js,county-local precinct,true,varies by county SOV,county SOV parser family,Collect official county SOV reports or identify a statewide precinct export behind the SOS portal.,Loaded Georgia workbook is county-level; county SOVs are the reliable precinct source identified so far.,2026-06-08
HI,missing,local_row_source_collected,Hawaii Office of Elections,Hawaii precinct or reporting-unit detail,https://files.hawaii.gov/elections/files/results/2024/General/media.txt,data/hi-2024-general-media.txt; data/hi-2024-general-precinct.pdf; data/hi-app-data.js,precinct,true,comparison contest needs mapping,Hawaii media/precinct file parser,Map President and U.S. Senate or another statewide contest from media.txt/precinct.pdf.,Hawaii county geometry does not include Kalawao as a separate presidential row.,2026-06-08
IA,missing,official_source_not_found,Iowa Secretary of State,Iowa precinct or reporting-unit results,https://sos.iowa.gov/elections/pdf/2024/general/canvsummary.pdf,data/ia-2024-general-canvass-summary.pdf; data/ia-app-data.js,unknown,false,needs source discovery,TBD,Search Iowa SOS and county auditor sites for official precinct-level general-election canvass/result exports.,"The loaded Iowa canvass PDF is county-level, and SOS PDF downloads are access-blocked in this environment.",2026-06-08
ID,missing,official_portal_identified_needs_capture,Idaho Secretary of State,Idaho precinct or reporting-unit detail,https://canvass.sos.idaho.gov/eng/contests/view/19439/,data/id-2024-president-county-results.csv; data/id-app-data.js,portal result rows,true,needs portal endpoint inspection,Idaho Canvass portal export/parser,Inspect canvass.sos.idaho.gov network exports for precinct or reporting-unit contest rows.,Current app import uses county-level CSV from the official portal.,2026-06-08
IL,missing,local_row_source_collected,Illinois State Board of Elections,Illinois precinct or reporting-unit detail,https://www.elections.il.gov/electionoperations/ElectionVoteTotalsCounty.aspx?ID=9huvqbsiUWA%3D,data/il-2024-president-county-results.csv; data/il-app-data.js,precinct,true,needs comparison contest source or columns,Illinois precinct CSV comparison parser,Collect/map a down-ballot contest at the same precinct grain.,Presidential precinct rows are already local; review graph still needs same-row comparison votes.,2026-06-08
IN,missing,official_portal_identified_needs_capture,Indiana Secretary of State Election Division,Indiana precinct or reporting-unit detail,https://enr.indianavoters.in.gov/archive/2024General/index.html,data/in-2024-general-president-results.json; data/in-app-data.js,unknown ENR detail,false,needs endpoint inspection,Indiana ENR archive parser,Inspect Indiana ENR archive payloads for precinct/detail endpoints beyond the county presidential payload.,Current official payload is county-level for this app import.,2026-06-08
KS,missing,local_row_source_collected,Kansas Secretary of State,Kansas precinct-level presidential rows,https://www.sos.ks.gov/elections/24elec/2024-Presidential-Results.xlsx,data/ks-2024-presidential-results.xlsx; data/ks-app-data.js,precinct,true,comparison contest needs mapping/source,Kansas workbook precinct parser,Map precinct President rows and collect a same-grain down-ballot workbook or sheet.,Current local workbook is presidential results; comparison contest availability must be confirmed.,2026-06-08
KY,missing,state_or_county_source_needed,Kentucky State Board of Elections,Kentucky precinct results,https://elect.ky.gov/results/2020-2029/Documents/2024%20General%20Election%20Certification%20as%20Amended%20on%20December%209th%202024.pdf,data/ky-2024-general-election-certification.pdf; data/ky-app-data.js,unknown,false,needs source discovery,TBD,Search Kentucky SBE and county clerk/SBE result downloads for official precinct-level 2024 general files.,Certification PDF is county-level.,2026-06-08
LA,missing,official_portal_identified_needs_capture,Louisiana Secretary of State,Louisiana precinct or reporting-unit detail,https://voterportal.sos.la.gov/ElectionResults/ElectionResults/,data/la-2024-president-parish-results.csv; data/la-app-data.js,precinct in GeauxVote portal,true,likely present; needs JSON capture,Louisiana GeauxVote race/precinct JSON parser,Capture official precinct-level race JSON for President plus a comparison contest from the Voter Portal.,Current local source is parish-level only.,2026-06-08
MA,missing,local_row_source_collected,Massachusetts Secretary of the Commonwealth,Massachusetts precinct or reporting-unit detail,https://electionstats.state.ma.us/elections/view/165300,data/ma-2024-president-general-election.html; data/ma-app-data.js,municipality/PD43+ rows,true,comparison contest needs mapping,Massachusetts PD43+ municipal comparison parser,Map President and U.S. Senate or another statewide race from PD43+ municipal rows.,Precinct-level availability is not confirmed; municipality-level may be the practical review grain.,2026-06-08
MD,missing,official_precinct_source_identified,Maryland State Board of Elections,Maryland 2024 General Election precinct results,https://elections.maryland.gov/elections/2024/election_data/index.html,data/md-2024-president-county-breakdown.html; data/md-app-data.js,precinct,true,likely present; inspect export files,Maryland precinct download parser,Download official precinct-level 2024 general election files and map President plus Senate.,Current local source is county breakdown HTML.,2026-06-08
ME,missing,local_row_source_collected,Maine Department of the Secretary of State,Maine municipality-level presidential rows,https://www.maine.gov/sos/sites/maine.gov.sos/files/inline-files/President%20and%20Vice%20President%20FINAL-Corrected%2020241205.xlsx,data/me-2024-president-county-town-final-corrected.xlsx; data/me-app-data.js,municipality,true,comparison contest needs mapping/source,Maine municipality workbook comparison parser,Collect or map a same-municipality down-ballot workbook if available.,Statewide UOCAVA is not county-assigned.,2026-06-08
MO,missing,state_or_county_source_needed,Missouri Secretary of State,Missouri precinct results,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/ActualResults-November52024.pdf,data/mo-2024-general-actual-results.pdf; data/mo-app-data.js,unknown/county-local,false,needs source discovery,TBD,Search Missouri SOS and county election authority result files for official precinct-level 2024 general data.,SOS actual-results PDF is county-level.,2026-06-08
MS,missing,official_source_needs_review,Mississippi Secretary of State,Mississippi precinct or reporting-unit detail,https://www.sos.ms.gov/elections/electionresults/2024ElectionRecapSheets.csv,data/ms-2024-election-recap-sheets.csv; data/ms-app-data.js,county in loaded recap; precinct source unknown,false,needs source discovery,TBD,Inspect Mississippi SOS downloads and county election commission files for precinct-level recap/reporting-unit data.,Loaded recap sheet source is county-level.,2026-06-08
MT,missing,state_or_county_source_needed,Montana Secretary of State,Montana precinct results,https://sosmt.gov/elections/results,data/mt-2024-general-election-report-state-canvass.pdf; data/mt-app-data.js,unknown/county-local,false,needs source discovery,TBD,Search Montana SOS and county election offices for precinct-level 2024 general returns.,State canvass PDF is county-level.,2026-06-08
NC,missing,official_precinct_source_identified,North Carolina State Board of Elections,NCSBE Historical Election Results Data,https://www.ncsbe.gov/results-data/election-results/historical-election-results-data,data/nc-2024-general-enr-results.zip; data/nc-app-data.js,precinct sort,true,likely present in precinct-sort files,North Carolina precinct-sort parser,Download official precinct-sort data and map President plus a statewide comparison contest.,Current local ENR archive uses county result files; turnout ZIPs are separate and should not be modified here.,2026-06-08
NE,missing,state_or_county_source_needed,Nebraska Secretary of State,Nebraska precinct results,https://sos.nebraska.gov/sites/default/files/doc/elections/2024/2024%20General%20Canvass%20Book.pdf,data/ne-2024-general-canvass-book.pdf; data/ne-app-data.js,unknown/county-local,false,needs source discovery,TBD,Search Nebraska SOS and county election offices for precinct-level 2024 general result files.,Canvass book presidential table is county-level.,2026-06-08
NH,missing,official_town_source_needed,New Hampshire Department of State Election Division,New Hampshire town-level 2024 general results,https://www.sos.nh.gov/2024-general-election-results,data/nh-2024-president-county-summary.pdf; data/nh-app-data.js,town,false,needs town-level source capture,New Hampshire town result parser,Locate official SOS town-level general-election result files for President and a comparison contest.,Loaded presidential summary PDF is county-level.,2026-06-08
NJ,loaded,local_row_source_collected,New Jersey Division of Elections,New Jersey county official municipal results,https://www.nj.gov/state/elections/assets/pdf/election-results/2024/2024-official-general-results-president-atlantic.pdf,data/nj-2024-*-president.pdf; data/nj-2024-*-us-senate.pdf; data/nj-app-data.js,municipality,true,President and U.S. Senate mapped at municipality level,New Jersey municipal PDF comparison parser,Loaded 565 municipality rows from all 21 county President and U.S. Senate PDFs; every county has at least 8 local rows.,Federal/overseas and hand-count rows are excluded from local advisory rows.,2026-06-09
NM,missing,local_row_source_collected,New Mexico Secretary of State,New Mexico precinct or reporting-unit detail,https://nm.elstats.civera.com/api/download_contest/14877_table.csv?split_party=false,data/nm-2024-president-county-results.csv; data/nm-app-data.js,precinct in Civera CSV,true,comparison contest needs mapping/source,Civera contest precinct CSV comparison parser,Map Civera precinct rows and collect a same-grain comparison contest export.,Current app promotion imports county rows only from the contest CSV.,2026-06-08
NV,missing,county_local_or_archive_required,Nevada Secretary of State,Nevada precinct results,https://www.nvsos.gov/SOSelectionPages/results/2024StateWideGeneral/ElectionSummary.aspx,data/nv-2024-official-statewide-general-election-results.html; data/nv-app-data.js,unknown/county-local,false,needs source discovery,TBD,Search Nevada SOS/county election offices or archived SOS downloads for precinct-level 2024 general data.,Live Nevada SOS pages are protected by Incapsula in this environment.,2026-06-08
NY,loaded,county_local_sources_partially_collected,New York City Board of Elections,New York City BOE 2024 General Election ED-level CSVs,https://vote.nyc/page/election-results-summary-2024,data/nyc-2024-general-president-edlevel.csv; data/nyc-2024-general-us-senate-edlevel.csv; data/ny-app-data.js,New York City election district,true,President and U.S. Senate mapped at election-district level,New York City ED CSV comparison parser,"Loaded 4,098 election-district rows for Bronx, Kings, New York, Queens, and Richmond counties; collect official local rows for the remaining 57 counties.",Partial NYC-only coverage; non-NYC counties remain county-level until county/local sources are collected.,2026-06-09
OH,missing,official_precinct_source_identified,Ohio Secretary of State,Ohio statewide races precinct-level workbook,https://www.ohiosos.gov/globalassets/elections/2024/gen/official/statewide-races-precint-level.xlsx,data/oh-2024-statewide-race-summary.xlsx; data/oh-app-data.js,precinct,true,likely present for statewide races,Ohio statewide-races precinct workbook parser,Download or archive-fetch the official workbook and map President plus Senate.,The source filename uses 'precint' in the official URL.,2026-06-08
OK,missing,official_portal_identified_needs_capture,Oklahoma State Election Board,Oklahoma precinct or reporting-unit detail,https://results.okelections.gov/OKER/?elecDate=20241105,data/ok-2024-general-enr-results.zip; data/ok-app-data.js,unknown OKER detail,false,needs endpoint inspection,OKER precinct/detail parser,Inspect OKER static files for precinct/detail results beyond county ENR payloads.,Current local OKER payload is county-level for this app pass.,2026-06-08
OR,missing,official_export_needs_precinct_parameters,Oregon Secretary of State,Oregon election results export service,https://results.oregonvotes.gov/resultsSW.aspx?type=FED&map=CTY&eid=107,data/or-2024-president-county-mapdata.json; data/or-app-data.js,unknown export grain,false,needs export parameter inspection,Oregon ResultsExport precinct parser,Inspect Oregon ResultsExport/API parameters for precinct-level President and comparison contest rows.,Current local map data is county-level.,2026-06-08
RI,missing,local_row_source_collected,Rhode Island Board of Elections,Rhode Island BOE precinct rows,https://elections.ri.gov/elections/previous-election-results,data/ri-2024-general-election-summary.xlsx; data/ri-app-data.js,precinct,true,comparison contest needs mapping,Rhode Island summary workbook comparison parser,Map Candidate_Breakout precinct rows to a comparison contest.,Federal precinct rows may need special handling.,2026-06-08
SC,missing,official_portal_identified_needs_capture,South Carolina State Election Commission,South Carolina precinct or reporting-unit detail,https://www.enr-scvotes.org/SC/122436/web.345435/,data/sc-2024-general-election-details.json; data/sc-app-data.js,unknown ENR detail,false,needs endpoint inspection,South Carolina ENR precinct/detail parser,Inspect ENR static JSON for precinct/detail records or collect county reports.,Current official ENR promotion uses county-level detail rows.,2026-06-08
SD,missing,state_or_county_source_needed,South Dakota Secretary of State,South Dakota precinct/reporting-unit results,https://sdsos.gov/elections-voting/election-resources/election-history/2024_Election_History.aspx,data/sd-2024-general-election-canvass-with-cert.pdf; data/sd-app-data.js,unknown,false,needs source discovery,TBD,Search South Dakota SOS and county auditor files for precinct-level 2024 general returns.,Canvass PDF presidential table is county-level.,2026-06-08
