state,lane,audit_collection_status,row_level,capture_status,existing_local_files,captured_files,next_step
AK,already-local-row-source,local_row_source_collected,precinct plus district-level rows,already present or needs parser/source discovery,data/ak-2024-general-enr-by-precinct.csv (3645454 bytes),,Map President and U.S. Representative rows from ENRbyPrecinct.csv into review rows.
AR,portal-capture,official_portal_identified_no_download,county in current payload; precinct export not exposed,source page captured,data/ar-2024-general-fed-results.json (93794 bytes),data/review-sources/ar-config.json; data/review-sources/ar-election-list.json; data/review-sources/ar-index-_rT17pbd.js; data/review-sources/ar-sos-election-results-page.html; data/review-sources/ar-2024-general-election-info.json; data/review-sources/ar-2024-general-contest-search-list.json; data/review-sources/ar-federal-contest-results.json; data/review-sources/ar-president-single-contest-results.json; data/review-sources/ar-official-review-source.html,"Inspect TotalResults network payloads for precinct endpoints; if unavailable, use SOS guidance to request 2024 precinct data."
AZ,county-local-needed,county_local_sources_partially_collected,county-local precinct/counting group,already present or needs parser/source discovery,data/az-2024-county-source-manifest.json (20731 bytes); data/az-2024-county-source-status.json (23061 bytes),,Complete county-by-county report collection and normalize report-specific precinct sections.
CA,county-local-needed,county_local_required,county-local precinct,already present or needs parser/source discovery,data/ca-2024-president-by-county.xlsx (18188 bytes),,Collect county SOV or precinct result files from county election offices; statewide SOS SOV is county-level.
CO,review-needed,statewide_precinct_source_identified,precinct,already present or needs parser/source discovery,data/co-2024-president-county-results.csv (206269 bytes),,Download the Colorado Secretary of State precinct-level results package and map President plus a statewide/congressional comparison contest.
CT,already-local-row-source,local_row_source_collected,town,already present or needs parser/source discovery,data/ct-2024-statement-of-vote.txt (227694 bytes),,Map a statewide down-ballot contest from the Statement of Vote text to the same town rows.
DE,already-local-row-source,local_row_source_collected,election district,already present or needs parser/source discovery,data/de-2024-general-election-report.html (5164476 bytes),,Map President and a statewide comparison race from the official report page election-district rows.
GA,county-local-needed,county_local_required,county-local precinct,data captured,data/ga-2024-total-votes-results.xlsx (304640 bytes),data/review-sources/ga-jurisdiction-georgia.json; data/review-sources/ga-2024novgen-election.json; data/ga-2024-general-ballot-items.json; data/ga-2024-general-president-of-the-us-detail.json; data/ga-2024-general-us-house-of-representatives-district-1-detail.json; data/ga-2024-general-us-house-of-representatives-district-2-detail.json; data/ga-2024-general-us-house-of-representatives-district-3-detail.json; data/ga-2024-general-us-house-of-representatives-district-4-detail.json; data/ga-2024-general-us-house-of-representatives-district-5-detail.json; data/ga-2024-general-us-house-of-representatives-district-6-detail.json; data/ga-2024-general-us-house-of-representatives-district-7-detail.json; data/ga-2024-general-us-house-of-representatives-district-8-detail.json; data/ga-2024-general-us-house-of-representatives-district-9-detail.json; data/ga-2024-general-us-house-of-representatives-district-10-detail.json; data/ga-2024-general-us-house-of-representatives-district-11-detail.json; data/ga-2024-general-us-house-of-representatives-district-12-detail.json; data/ga-2024-general-us-house-of-representatives-district-13-detail.json; data/ga-2024-general-us-house-of-representatives-district-14-detail.json; data/review-sources/ga-official-review-source.html,Collect official county SOV reports or identify a statewide precinct export behind the SOS portal.
HI,already-local-row-source,local_row_source_collected,precinct,already present or needs parser/source discovery,data/hi-2024-general-media.txt (3950518 bytes); data/hi-2024-general-precinct.pdf (3370521 bytes),,Map President and U.S. Senate or another statewide contest from media.txt/precinct.pdf.
IA,review-needed,official_source_not_found,unknown,already present or needs parser/source discovery,data/ia-2024-general-canvass-summary.pdf (644223 bytes),,Search Iowa SOS and county auditor sites for official precinct-level general-election canvass/result exports.
ID,portal-capture,official_portal_identified_needs_capture,portal result rows,data captured,data/id-2024-president-county-results.csv (3756 bytes),data/id-2024-president-precinct-results.csv; data/id-2024-us-house-district-1-precinct-results.csv; data/id-2024-us-house-district-2-precinct-results.csv; data/review-sources/id-official-review-source.html,Inspect canvass.sos.idaho.gov network exports for precinct or reporting-unit contest rows.
IL,already-local-row-source,local_row_source_collected,precinct,already present or needs parser/source discovery,data/il-2024-president-county-results.csv (5560651 bytes),,Collect/map a down-ballot contest at the same precinct grain.
IN,portal-capture,official_portal_identified_needs_capture,unknown ENR detail,data captured,data/in-2024-general-president-results.json (760654 bytes),data/review-sources/in-settings.json; data/review-sources/in-statewideElectionsC_A.json; data/in-2024-general-president-results.json; data/in-2024-general-us-senate-office-category.json; data/in-2024-general-us-house-office-category.json; data/review-sources/in-official-review-source.html,Inspect Indiana ENR archive payloads for precinct/detail endpoints beyond the county presidential payload.
KS,already-local-row-source,local_row_source_collected,precinct,already present or needs parser/source discovery,data/ks-2024-presidential-results.xlsx (773382 bytes),,Map precinct President rows and collect a same-grain down-ballot workbook or sheet.
KY,source-discovery-needed,state_or_county_source_needed,unknown,already present or needs parser/source discovery,data/ky-2024-general-election-certification.pdf (352441 bytes),,Search Kentucky SBE and county clerk/SBE result downloads for official precinct-level 2024 general files.
LA,portal-capture,official_portal_identified_needs_capture,precinct in GeauxVote portal,data captured,data/la-2024-president-parish-results.csv (3974 bytes),data/review-sources/la-official-review-source.html; data/review-sources/la-staticresults-bundle.js; data/la-2024-general-federal-precinct-results.json; data/review-sources/la-official-review-source.html,Capture official precinct-level race JSON for President plus a comparison contest from the Voter Portal.
MA,already-local-row-source,local_row_source_collected,municipality/PD43+ rows,already present or needs parser/source discovery,data/ma-2024-president-general-election.html (264641 bytes),,Map President and U.S. Senate or another statewide race from PD43+ municipal rows.
MD,direct-official-target,official_precinct_source_identified,precinct,data captured,data/md-2024-president-county-breakdown.html (121600 bytes),data/md-2024-general-all-precincts.csv; data/md-2024-state-precinct-reference.xlsx; data/review-sources/md-election-data-index.html,Download official precinct-level 2024 general election files and map President plus Senate.
ME,already-local-row-source,local_row_source_collected,municipality,already present or needs parser/source discovery,data/me-2024-president-county-town-final-corrected.xlsx (60242 bytes),,Collect or map a same-municipality down-ballot workbook if available.
MO,source-discovery-needed,state_or_county_source_needed,unknown/county-local,already present or needs parser/source discovery,data/mo-2024-general-actual-results.pdf (2023297 bytes),,Search Missouri SOS and county election authority result files for official precinct-level 2024 general data.
MS,review-needed,official_source_needs_review,county in loaded recap; precinct source unknown,already present or needs parser/source discovery,data/ms-2024-election-recap-sheets.csv (176954 bytes),,Inspect Mississippi SOS downloads and county election commission files for precinct-level recap/reporting-unit data.
MT,source-discovery-needed,state_or_county_source_needed,unknown/county-local,already present or needs parser/source discovery,data/mt-2024-general-election-report-state-canvass.pdf (445925 bytes),,Search Montana SOS and county election offices for precinct-level 2024 general returns.
