,,Donald J. Trump and JD Vance,Kamala D. Harris and Tim Walz,Chase Oliver and Mike ter Maat,Jill Stein and Rudolph Butch Ware,Cornel West and Melina Abdulla,Randall A. Terry and Stephen E. Broden,Claudia De La Cruz and Karina Garcia,Total Votes Cast,Overvotes/Undervotes,Total Ballots Cast
,,Republican,Democratic,Libertarian,Green,United Citizens,Constitution,Workers,,,
State,South Carolina,1483747,1028452,12669,8117,6744,5352,3059,2548140,18264,2566404
County,Abbeville,8509,3399,38,26,31,29,16,12048,59,12107
Precinct,Abbeville No. 01,923,354,5,1,4,2,3,1292,10,1302
Precinct,Abbeville No. 02,341,554,3,3,3,1,2,907,5,912
Precinct,Abbeville No. 03,515,375,3,0,2,4,0,899,4,903
Precinct,Abbeville No. 04,416,191,2,0,2,3,1,615,3,618
Precinct,Antreville,831,162,5,4,1,1,0,1004,5,1009
Precinct,Broadmouth,331,65,1,0,2,0,0,399,0,399
Precinct,Calhoun Falls,557,541,1,1,2,2,1,1105,5,1110
Precinct,Cold Springs,604,134,2,2,2,1,0,745,4,749
Precinct,Donald's,347,52,1,0,0,0,0,400,1,401
Precinct,Due West,811,281,2,6,3,8,4,1115,6,1121
Precinct,Failsafe,0,0,0,0,0,0,0,0,0,0
Precinct,Failsafe Provisional,0,0,0,0,0,0,0,0,0,0
Precinct,Hall's Store,320,120,1,1,1,2,0,445,2,447
Precinct,Keowee,768,127,3,0,3,2,1,904,5,909
Precinct,Lebanon,448,138,4,3,1,2,1,597,3,600
Precinct,Lowndesville,758,126,3,3,1,1,2,894,5,899
Precinct,Provisional,7,0,0,0,0,0,0,7,0,7
Precinct,Smithville,532,179,2,2,4,0,1,720,1,721
County,Aiken,53592,31298,437,228,247,181,108,86091,574,86665
Precinct,Aiken No. 01,588,344,3,4,0,3,0,942,16,958
Precinct,Aiken No. 02,166,477,3,3,2,2,1,654,5,659
Precinct,Aiken No. 03,152,652,1,1,11,1,1,819,8,827
Precinct,Aiken No. 04,81,288,1,0,1,2,2,375,3,378
Precinct,Aiken No. 05,309,442,3,4,4,3,2,767,13,780
Precinct,Aiken No. 06,537,387,11,5,1,2,0,943,12,955
Precinct,Aiken No. 47,434,326,2,1,0,3,1,767,2,769
Precinct,Anderson Pond No. 69,1324,701,9,5,0,4,1,2044,24,2068
Precinct,Ascauga Lake No. 63,549,212,1,1,1,0,1,765,4,769
Precinct,Ascauga Lake No. 84,683,293,2,3,1,1,2,985,4,989
Precinct,Bath,278,198,1,1,2,0,1,481,2,483
Precinct,Beech Island,482,514,3,1,3,2,3,1008,7,1015
Precinct,Belvedere No. 09,510,448,5,4,3,1,1,972,6,978
Precinct,Belvedere No. 44,568,360,3,2,7,4,4,948,4,952
Precinct,Belvedere No. 62,450,461,5,2,8,2,2,930,8,938
Precinct,Belvedere No. 74,280,151,3,3,2,0,0,439,0,439
Precinct,Breezy Hill,524,720,5,4,8,3,3,1267,5,1272
Precinct,Breezy No. 87,366,137,4,2,1,2,1,513,3,516
Precinct,Carolina Heights,302,440,1,0,4,3,0,750,8,758
Precinct,Cedar Creek No. 64,955,432,9,2,2,3,1,1404,26,1430
Precinct,China Springs,379,561,3,6,7,2,0,958,10,968
Precinct,Clearwater,219,167,5,1,3,1,0,396,3,399
Precinct,College Acres,845,434,8,7,3,2,4,1303,12,1315
Precinct,Community No. 86,463,212,1,3,4,1,1,685,0,685
Precinct,Couchton,598,327,3,2,2,1,2,935,10,945
Precinct,Creek No. 85,643,371,10,3,5,2,1,1035,13,1048
Precinct,Eureka,887,312,6,2,4,0,2,1213,7,1220
Precinct,Failsafe,26,23,0,0,2,0,0,51,1,52
Precinct,Failsafe Provisional,0,0,0,0,0,0,0,0,0,0
Precinct,Fox Creek No. 58,762,301,7,3,1,4,0,1078,5,1083
Precinct,Fox Creek No. 73,984,321,6,3,0,0,1,1315,7,1322
Precinct,Gem Lakes No. 60,692,297,6,3,0,3,1,1002,5,1007
Precinct,Gem Lakes No. 77,835,365,13,5,2,1,0,1221,14,1235
Precinct,Gloverville,535,191,2,3,4,1,2,738,1,739
Precinct,Graniteville,438,192,3,2,0,1,3,639,1,640
Precinct,Hammond No. 48,665,382,2,1,2,1,3,1056,6,1062
Precinct,Hammond No. 81,591,292,7,2,1,0,0,893,3,896
Precinct,Hitchcock No. 66,462,291,5,2,1,3,1,765,3,768
Precinct,Hollow Creek,666,364,7,6,0,4,0,1047,11,1058
Precinct,Jackson,873,222,4,2,5,2,1,1109,7,1116
Precinct,Langley,613,189,3,1,1,0,0,807,1,808
Precinct,Levels No. 52,361,332,6,1,1,2,0,703,2,705
Precinct,Levels No. 72,419,330,8,0,1,3,2,763,6,769
Precinct,Levels No. 83,311,274,7,3,1,0,0,596,1,597
Precinct,Lynwood,412,124,1,1,1,1,0,540,5,545
Precinct,Midland Valley No. 51,726,360,2,5,2,5,3,1103,2,1105
Precinct,Midland Valley No. 71,1236,663,6,3,5,1,3,1917,6,1923
Precinct,Midlands No. 88,700,396,2,3,1,0,2,1104,10,1114
Precinct,Millbrook,800,508,7,3,3,3,5,1329,17,1346
Precinct,Misty Lakes,914,513,9,1,8,4,1,1450,13,1463
Precinct,Monetta,487,250,3,1,7,2,0,750,7,757
Precinct,Montmorenci No. 22,863,538,5,3,3,2,3,1417,6,1423
Precinct,Montmorenci No. 78,486,276,3,1,2,2,2,772,2,774
Precinct,N. Augusta No. 25,518,405,6,3,4,4,2,942,6,948
Precinct,N. Augusta No. 26,338,299,7,0,1,1,1,647,3,650
Precinct,N. Augusta No. 27,897,265,18,4,0,8,2,1194,7,1201
Precinct,N. Augusta No. 28,560,235,5,4,0,3,0,807,6,813
Precinct,N. Augusta No. 29,629,414,12,7,2,3,1,1068,6,1074
Precinct,N. Augusta No. 54,327,380,4,3,1,1,0,716,2,718
Precinct,N. Augusta No. 55,502,259,2,5,1,3,0,772,8,780
Precinct,N. Augusta No. 67,759,276,12,5,1,2,1,1056,8,1064
Precinct,N. Augusta No. 68,786,241,4,3,3,8,0,1045,1,1046
Precinct,N. Augusta No. 80,496,165,3,1,2,0,1,668,5,673
Precinct,New Ellenton,559,514,8,2,5,4,1,1093,9,1102
Precinct,New Holland,483,145,1,1,1,2,1,634,4,638
Precinct,Oak Grove,661,188,2,4,4,0,1,860,3,863
Precinct,Perry,493,141,4,2,4,2,1,647,3,650
Precinct,Pine Forest,1054,324,4,3,1,0,3,1389,9,1398
Precinct,Provisional,51,30,0,0,1,0,0,82,0,82
Precinct,Redds Branch,578,275,2,2,2,1,0,860,5,865
Precinct,Salley,259,191,1,0,6,1,1,459,6,465
Precinct,Sandstone No. 70,461,300,11,2,1,3,2,780,6,786
Precinct,Sandstone No. 79,474,330,5,3,1,1,1,815,3,818
Precinct,Shaws Fork,418,177,4,1,2,2,1,605,3,608
Precinct,Shiloh,1030,412,6,0,2,0,3,1453,9,1462
Precinct,Silver Bluff,690,637,10,3,5,1,3,1349,8,1357
Precinct,Six Points No. 35,603,437,7,2,1,4,1,1055,6,1061
Precinct,Six Points No. 46,121,582,0,1,7,2,0,713,5,718
Precinct,Sleepy Hollow No. 65,1068,362,6,3,4,3,0,1446,8,1454
Precinct,South Aiken No. 75,1020,554,7,4,2,0,1,1588,8,1596
Precinct,South Aiken No. 76,640,371,2,3,2,2,0,1020,6,1026
Precinct,South Creek No. 89,589,279,3,3,0,0,1,875,9,884
Precinct,Tabernacle,305,211,2,2,4,1,0,525,1,526
Precinct,Talatha,1020,518,6,2,5,2,0,1553,4,1557
Precinct,Vaucluse,1088,743,13,6,9,4,1,1864,9,1873
Precinct,Wagener,919,533,6,1,3,8,0,1470,11,1481
Precinct,Ward,695,376,4,2,4,2,0,1083,5,1088
Precinct,Warrenville,977,436,6,3,4,2,3,1431,9,1440
Precinct,White Pond,342,226,0,0,0,0,0,568,3,571
Precinct,Willow Springs,659,200,2,1,3,4,2,871,8,879
Precinct,Windsor No. 43,574,265,5,2,4,0,3,853,4,857
Precinct,Windsor No. 82,520,241,2,5,2,2,0,772,1,773
County,Allendale,813,2165,4,4,29,5,3,3023,28,3051
Precinct,Allendale 01,98,468,1,2,6,1,1,577,4,581
Precinct,Allendale 02,12,486,0,1,7,1,1,508,6,514
Precinct,Failsafe,0,0,0,0,0,0,0,0,0,0
Precinct,Failsafe Provisional,0,0,0,0,0,0,0,0,0,0
Precinct,Fairfax 01,110,176,0,0,1,1,0,288,5,293
Precinct,Fairfax 02,77,497,0,0,6,0,1,581,1,582
Precinct,Martin,50,125,0,0,1,0,0,176,4,180
Precinct,Provisional,2,1,0,0,0,0,0,3,0,3
Precinct,Sycamore,177,62,1,0,0,2,0,242,3,245
Precinct,Ulmer,96,44,2,1,1,0,0,144,2,146
Precinct,Woods,191,306,0,0,7,0,0,504,3,507
County,Anderson,71828,25281,439,218,215,232,83,98296,573,98869
Precinct,3 And 20,1742,345,9,1,0,5,2,2104,8,2112
Precinct,5 Forks,1021,325,7,4,1,4,3,1365,8,1373
Precinct,Anderson 01/1,592,392,6,4,6,5,0,1005,3,1008
Precinct,Anderson 01/2,714,275,12,9,1,4,0,1015,5,1020
Precinct,Anderson 02/1,696,318,6,3,4,3,0,1030,9,1039
Precinct,Anderson 02/2,1145,573,6,4,5,11,4,1748,24,1772
Precinct,Anderson 03/1,217,228,4,1,1,1,0,452,6,458
Precinct,Anderson 03/2,325,291,3,3,3,0,0,625,1,626
Precinct,Anderson 04/1,125,431,2,1,4,3,1,567,4,571
Precinct,Anderson 04/2,365,813,2,2,7,1,2,1192,8,1200
Precinct,Anderson 05/b,161,425,3,1,4,3,1,598,9,607
Precinct,Anderson 06/1,830,515,10,7,6,4,4,1376,12,1388
Precinct,Anderson 06/2,204,334,0,2,4,1,2,547,3,550
Precinct,Appleton-Equinox,223,213,0,3,3,1,0,443,3,446
Precinct,Barkers Creek-Mcadams,312,34,0,1,1,0,0,348,0,348
Precinct,Belton,989,307,4,2,3,5,3,1313,10,1323
Precinct,Belton Annex,1011,307,6,4,4,5,3,1340,3,1343
Precinct,Bishops Branch,1192,357,7,5,2,3,1,1567,6,1573
Precinct,Bowling Green,648,140,5,0,1,0,0,794,2,796
Precinct,Broadview,209,257,0,1,4,1,0,472,0,472
Precinct,Broadway,471,140,0,0,2,2,1,616,2,618
Precinct,Brushy Creek,1553,386,8,4,0,5,4,1960,12,1972
Precinct,Cedar Grove,919,172,3,0,0,2,0,1096,5,1101
Precinct,Center Rock,1509,436,7,4,3,3,4,1966,14,1980
Precinct,Centerville Station A,1579,588,11,2,2,6,0,2188,6,2194
Precinct,Centerville Station B,1377,584,10,4,4,3,2,1984,13,1997
Precinct,Chiquola Mill,255,136,2,0,2,1,1,397,4,401
Precinct,Concrete,1742,655,11,5,4,7,2,2426,13,2439
Precinct,Coxs Creek,545,241,5,2,1,3,0,797,6,803
Precinct,Craytonville,723,72,1,0,0,0,1,797,7,804
Precinct,Denver-sandy Springs,1013,355,17,2,5,4,0,1396,8,1404
Precinct,Edgewood Station A,909,506,4,6,4,0,1,1430,10,1440
Precinct,Edgewood Station B,1096,428,7,4,7,1,0,1543,13,1556
Precinct,Failsafe,18,13,0,0,1,0,0,32,1,33
Precinct,Failsafe Provisional,126,23,0,0,0,0,0,149,1,150
Precinct,Flat Rock,797,182,1,1,1,1,1,984,4,988
Precinct,Fork No. 01,978,210,4,7,2,4,0,1205,4,1209
Precinct,Fork No. 02,1090,236,10,5,2,2,1,1346,6,1352
Precinct,Friendship,652,112,1,1,2,2,0,770,8,778
Precinct,Glenview,1030,499,11,1,5,3,0,1549,4,1553
Precinct,Gluck Mill,493,261,2,1,5,1,1,764,6,770
Precinct,Green Pond Station A,1466,416,9,3,6,2,2,1904,13,1917
Precinct,Hall,838,183,3,1,1,1,2,1029,3,1032
Precinct,Hammond Annex,1073,427,10,3,1,5,3,1522,11,1533
Precinct,Hammond School,1488,522,13,7,4,3,1,2038,10,2048
Precinct,High Point,408,51,1,2,1,0,0,463,4,467
Precinct,Homeland Park,273,48,0,0,1,0,0,322,0,322
Precinct,Honea Path,822,189,6,2,3,3,1,1026,2,1028
Precinct,Hopewell,1007,367,8,8,1,4,0,1395,11,1406
Precinct,Hunt Meadows,2776,786,11,8,9,11,2,3603,23,3626
Precinct,Iva,1002,139,3,3,3,1,2,1153,12,1165
Precinct,Jackson Mill,884,111,2,0,2,7,0,1006,11,1017
Precinct,La France,546,192,4,1,1,4,1,749,4,753
Precinct,Lakeside,1115,580,9,0,4,0,0,1708,6,1714
Precinct,Melton,459,121,3,0,0,2,0,585,2,587
Precinct,Mount Tabor,1519,492,10,7,5,9,3,2045,12,2057
Precinct,Mountain Creek,429,122,2,1,3,1,0,558,2,560
Precinct,Mt Airy,1511,363,12,3,3,2,1,1895,23,1918
Precinct,Neals Creek,1012,421,5,2,1,3,1,1445,5,1450
Precinct,North Pointe,1261,379,8,9,1,3,0,1661,8,1669
Precinct,Pelzer,464,87,0,1,1,2,0,555,3,558
Precinct,Pendleton,1651,1255,28,11,3,12,2,2962,25,2987
Precinct,Piedmont,578,169,3,4,1,0,3,758,2,760
Precinct,Piercetown,1525,391,9,2,0,4,3,1934,14,1948
Precinct,Powdersville,1878,660,8,5,6,7,2,2566,12,2578
