Summary Results Report,,,,,,,,,,OFFICIAL RESULTS,,,,,,,,,
General Election,,,,,,,,,,,,,,,,,,,
"November 5, 2024",,,,,,,,,,"Monongalia County, West Virginia",,,,,,,,,
PRECINCT 1,,,,,,,,,,,,,,,,,,,
Statistics,,TOTAL,,Election Day,,Early Vote,,Absentee,,,Canvass,,Absentee After ED,,Provisional,,,,
Registered Voters - Total,,168,,,,,,,,,,,,,,,,,
Ballots Cast - Total,,114,,39,,74,,0,,,0,,0,,1,,,,
Ballots Cast - Blank,,0,,0,,0,,0,,,0,,0,,0,,,,
Voter Turnout - Total,,67.86%,,,,,,,,,,,,,,,,,
,FOR PRESIDENT,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP DONALD J. TRUMP,,34,,29.82%,,9,,25,,,0,,0,,0,,0,,
DEM KAMALA D. HARRIS,,76,,66.67%,,27,,48,,,0,,0,,0,,1,,
LBN CHASE OLIVER,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
MTN JILL STEIN,,2,,1.75%,,1,,1,,,0,,0,,0,,0,,
IND ROBERT F. KENNEDY JR.,,2,,1.75%,,2,,0,,,0,,0,,0,,0,,
Write-In Totals,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Total Votes Cast,,114,,100.00%,,39,,74,,,0,,0,,0,,1,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Contest Totals,,114,,100.00%,,39,,74,,,0,,0,,0,,1,,
,FOR U.S. SENATOR,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP JIM JUSTICE,,37,,32.46%,,12,,25,,,0,,0,,0,,0,,
DEM GLENN ELLIOTT,,74,,64.91%,,25,,48,,,0,,0,,0,,1,,
LBN DAVID MORAN,,3,,2.63%,,2,,1,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Total Votes Cast,,114,,100.00%,,39,,74,,,0,,0,,0,,1,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Contest Totals,,114,,100.00%,,39,,74,,,0,,0,,0,,1,,
,FOR U.S. HOUSE OF REPS 2ND DIST,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP RILEY MOORE,,36,,31.58%,,11,,25,,,0,,0,,0,,0,,
DEM STEVEN WENDELIN,,73,,64.04%,,26,,46,,,0,,0,,0,,1,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
