state,source_priority,authority,source_title,source_url,source_level,has_ballots_cast,has_registered_voters,has_eligible_voters,has_vote_method,vote_method_fields,denominator_timing,format,parser_fit,status,confidence,caveats,checked_at
AK,1,Alaska Division of Elections,2024 General Election ENR by Precinct,https://www.elections.alaska.gov/results/24GENR/ENRbyPrecinct.csv,precinct plus district-level voting-method rows aggregated to house district,true,true,false,true,Election Day ballots; absentee ballots; early voting ballots; question ballots; remote ballots,final,csv,loaded: alaskaEnrHouseDistrictTurnout,loaded,high,App imports 40 mapped State House District turnout rows from the official ENR CSV. HD99 Federal Overseas Absentee is documented and excluded because it has no district polygon.,2026-06-08
AL,1,Alabama Secretary of State,2024 General Election Total Ballots Cast plus ALVR-2024 voter registration workbook,https://www.sos.alabama.gov/alabama-votes/voter/election-data,county,true,true,false,true,absentee ballots; party ballots in total-ballots PDF,postElectionDay,xlsx plus pdf,loaded: alabamaPrecinctZipTurnout,loaded,high,App already imports county turnout from official results plus registration workbook; precinct-level denominator support is not loaded.,2026-06-08
AR,1,Arkansas Secretary of State,Arkansas 2024 General Election TotalResults election-info turnout object,https://enr.totalresults.com/arkansas,statewide,true,true,false,false,,unknown,json/api,loaded: arkansasTotalResultsStatewideJson,loaded,medium,App imports the official statewide registered-voter and total-ballots-cast turnout object with warnings; county-level denominator rows still need a separate official source.,2026-06-08
AZ,1,Arizona Secretary of State,Voter Registration Statistics - Historical Election Information,https://azsos.gov/elections/election-information/voter-registration-statistics,statewide,true,true,false,false,,final,html table normalized to csv,loaded: statewideTurnoutCsv,loaded_statewide_only,high,App imports one statewide warning row from the SOS historical election table; county-local official reports remain the follow-up for county or precinct turnout detail.,2026-06-08
CA,1,California Secretary of State,"November 5, 2024 General Election Voter Participation Statistics by County",https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,county,true,true,false,false,,preElectionDay,pdf,loaded: californiaParticipationPdf,loaded,high,Registered-voter totals are based on the 15-day Report of Registration and exclude later same-day registrations.,2026-06-08
CO,1,Colorado Secretary of State,2024 Abstract of Votes Cast,https://www.coloradosos.gov/pubs/elections/Results/2024/2024BiennialAbstract.pdf,county,true,true,false,false,,final,pdf,loaded: coloradoGeneralTurnoutPdf,loaded,high,App imports the 2024 General Election county turnout table calculated as a percentage of registered voters and validates the published statewide totals.,2026-06-08
CT,1,Connecticut Secretary of the State,"2024 Statement of Vote, Election Day Registration, Turnout and Absentee Ballot Statistics",https://portal.ct.gov/-/media/sots/electionservices/statementofvote_pdfs/2024_statement_of_vote.pdf,planningRegion,true,true,false,false,,preElectionDay,pdf,loaded: connecticutStatementTurnoutPdf,loaded,high,App parses 169 official town turnout columns from Statement of Vote pages 157-162 and rolls them up to Census planning-region geometry. Rows are warning-labeled because the denominator is the active official checklist while the turnout section also reports same-day registration activity.,2026-06-08
DE,1,Delaware Department of Elections,2024 General Election Report,https://elections.delaware.gov/reports/GE2024.html,statewide,true,true,false,false,,final,html,loaded: delawareReportHtml,loaded,high,"App imports the official report-page summary as a single statewide-only turnout row. County-level turnout denominator rows were not exposed in the loaded report, so rows are warning-labeled as statewide-only coverage.",2026-06-08
FL,1,Florida Division of Elections,2024 General Election precinct-level results ZIP,https://dos.fl.gov/elections/data-statistics/elections-data/precinct-level-election-results/,precinct,true,true,false,false,,final,zip,loaded: floridaPrecinctZipTurnout,loaded,high,App already imports precinct turnout rows from official precinct-level results.,2026-06-08
GA,1,Georgia Secretary of State,Georgia November General Election public results turnout join,https://results.sos.ga.gov/results/public/Georgia/2024NovGen,statewide,true,true,false,false,,final,statewideTurnoutCsv,loaded: statewideTurnoutCsv; county-local collection still needed for lower-level rows,loaded_statewide_only,medium,Loaded as a statewide-only warning row by joining the official public results portal totalVoters denominator to the sum of official Total Votes workbook county President Ballots Cast rows. County-level registration denominator detail remains a follow-up.,2026-06-08
HI,1,Hawaii Office of Elections,Registration and Voter Turnout Statistics,https://elections.hawaii.gov/resources/registration-voter-turnout-statistics/,county,true,true,false,true,mail turnout; in-person turnout,final,pdf,loaded: hawaiiCountySummaryPdfs,loaded,high,"App imports county registration, turnout, mail turnout, and in-person turnout from the four official county summary PDFs; Kalawao is not a separate presidential county result row in the loaded Hawaii data.",2026-06-08
IA,1,Iowa Secretary of State,2024 General Election Turnout Report,https://sos.iowa.gov/elections/pdf/2024/general/turnout.pdf,county,true,true,false,true,Election Day voters; absentee voters,preElectionDay,pdf-derived csv,loaded: iowaTurnoutCsv,loaded,high,"App imports 99 county rows from a local CSV derived from the official PDF text, uses active plus inactive voters as the denominator, and validates county sums against the report Total row. Rows are warning-labeled because the denominator is an Election Day snapshot.",2026-06-08
ID,1,Idaho Secretary of State,2024 General Election Turnout,https://archive.voteidaho.gov/results/2024/general/turnout.html,county,true,true,false,true,Election Day registrations,final,html,loaded: idahoTurnoutHtml,loaded,high,"Official turnout table includes county election-day registrations, registered voters, ballots cast, and turnout.",2026-06-08
IL,1,Illinois State Board of Elections,2024 General Election PRESIDENT AND VICE PRESIDENT CSV,https://www.elections.il.gov/electionoperations/ElectionVoteTotalsCounty.aspx?ID=9huvqbsiUWA%3D,precinct,true,true,false,false,,final,illinoisPrecinctCsv,loaded partial: illinoisPrecinctCsv,loaded_partial,medium,"Official statewide CSV exposes precinct Registration and presidential contest vote rows. App uses candidate, write-in, blank, over-vote, and under-vote rows as contest-level ballots cast, with caution labels. Rows with zero or missing Registration are excluded, so coverage is partial.",2026-06-08
IN,1,Indiana Secretary of State Election Division,2024 General Election Turnout and Registration Report,https://www.in.gov/sos/elections/voter-information/files/2024-General-Election-Turnout-and-Registration-Report.pdf,county,true,true,false,true,Election Day vote; absentee,final,pdf,loaded: indianaTurnoutPdf,loaded,high,Statewide official county report is available; precinct-level denominator source would need county-local reports.,2026-06-08
KS,1,Kansas Secretary of State,2024 General Election Turnout Information,https://www.sos.ks.gov/elections/election-results.html,state/county,true,true,false,false,,final,xlsx,loaded: kansasTurnoutXlsx,loaded,high,"App imports county ballots cast, registered voters, and turnout percentage from the official workbook 2024 Turnout sheet; precinct-level denominator support is not loaded.",2026-06-08
KY,1,Kentucky State Board of Elections,Voter Turnout Report For the 2024 General Election,https://elect.ky.gov/Resources/Documents/2024G%20Voter%20Turnout%20by%20County.pdf,county,true,true,false,false,,postElectionDay,pdf,loaded: kentuckyTurnoutPdf,loaded,high,"App imports 120 county rows with total registered voters, number voting, and party registration/voting columns. Rows are warning-labeled because SBE says turnout reports are run after registration rolls reopen.",2026-06-08
LA,1,Louisiana Secretary of State,Votes Race By Parish - Presidential Electors,https://voterportal.sos.la.gov/ElectionResults/ElectionResults/Data?blob=20241105/VotesRaceByParish/Votes_67190.htm,county,true,true,false,false,,final,json,loaded: louisianaPresidentParishJson,loaded,high,"App imports 64 parish rows from official SOS presidential race JSON using VoterCountQualified and VoterCountVoted, and validates statewide denominator and ballots-cast totals.",2026-06-08
MA,1,Massachusetts Secretary of the Commonwealth,Voter Turnout Statistics and Early/Mail Voting Statistics,https://www.sec.state.ma.us/divisions/elections/research-and-statistics/voter-turnout-statistics.htm,statewide,true,true,false,false,,final,html-derived csv,loaded: statewideTurnoutCsv,loaded_statewide_only,medium,App imports one statewide warning row from the official voter turnout statistics table. Detailed city/town turnout and vote-method downloads remain a follow-up before claiming local coverage.,2026-06-08
