City/Town,,,"Kamala D. Harris/ Tim Walz","Donald J. Trump/ JD Vance","Robert F. Kennedy Jr/ Nicole Shanahan","Chase Oliver/ Mike Ter Maat","Claudia De La Cruz/ Karina Garcia","Cornel West/ Melina Abdullah","Rachele Fruit/ Dennis Richter",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,Democratic,Republican,"We The People",Libertarian,"Socialism And Liberation","Peace And Justice","Socialist Workers"
Addison,,,446,384,20,3,6,3,0,4,11,0,877
Albany,,,283,246,13,2,3,1,1,5,8,2,564
Alburgh,,,498,543,21,7,4,1,0,3,10,3,"1,090"
Andover,,,198,156,3,3,1,1,0,2,3,0,367
Arlington,,,888,570,18,6,6,2,1,13,9,0,"1,513"
Athens,,,112,109,4,0,0,2,0,4,2,0,233
Bakersfield,,,415,321,16,9,2,0,1,2,8,1,775
Baltimore,,,63,79,4,0,0,0,0,0,2,0,148
Barnard,,,455,164,13,7,5,12,0,2,5,0,663
Barnet,,,622,434,14,11,3,2,0,11,9,1,"1,107"
"Barre City",,,"2,272","1,301",67,13,34,23,3,27,33,7,"3,780"
"Barre Town",,,"2,544","2,129",78,24,13,10,2,47,60,1,"4,908"
Barton,,,699,613,25,4,5,2,0,2,15,0,"1,365"
Belvidere,,,93,106,5,0,2,1,0,0,1,0,208
Bennington,,,"4,235","2,690",110,28,38,23,3,50,56,14,"7,247"
Benson,,,249,357,15,6,1,2,1,4,2,0,637
Berkshire,,,275,481,13,4,1,2,0,2,4,2,784
Berlin,,,989,504,26,14,4,9,0,9,24,1,"1,580"
Bethel,,,675,318,18,5,4,2,2,14,16,0,"1,054"
Bloomfield,,,45,86,4,0,0,0,0,0,2,2,139
Bolton,,,562,215,13,3,5,2,0,10,6,0,816
Bradford,,,872,601,32,6,5,5,2,12,9,1,"1,545"
Braintree,,,442,276,14,4,3,3,0,7,7,0,756
Brandon,,,"1,229","1,042",42,11,11,7,2,12,17,3,"2,376"
Brattleboro,,,"5,068","1,105",94,18,49,68,4,60,23,1,"6,490"
Bridgewater,,,337,221,8,2,2,3,0,2,6,0,581
Bridport,,,393,346,9,9,1,3,0,8,12,0,781
Brighton,,,190,361,82,4,2,3,0,5,8,0,655
Bristol,,,"1,493",756,41,13,5,10,0,18,21,6,"2,363"
Brookfield,,,534,335,16,7,6,14,0,7,9,0,928
Brookline,,,213,105,9,1,1,2,0,0,2,0,333
Brownington,,,210,316,14,2,1,2,1,1,1,1,549
Brunswick,,,26,32,3,0,0,0,0,0,1,1,63
Burke,,,544,358,28,5,2,5,0,5,10,3,960
Burlington,,,"17,414","2,223",167,76,359,196,20,212,156,13,"20,836"
Cabot,,,531,331,27,1,2,6,1,4,9,1,913
Calais,,,833,243,20,5,10,19,1,9,15,0,"1,155"
Cambridge,,,"1,462",635,51,12,3,10,2,22,19,2,"2,218"
Canaan,,,247,270,14,3,3,0,0,1,4,4,546
Castleton,,,"1,009","1,081",41,10,3,0,0,7,19,1,"2,171"
Cavendish,,,428,357,16,6,3,5,2,6,12,0,835
Charleston,,,242,297,9,2,1,4,0,2,4,0,561
Charlotte,,,"2,207",502,60,11,8,6,0,24,32,0,"2,850"
Chelsea,,,372,298,22,6,7,3,2,10,20,1,741
Chester,,,"1,034",667,33,5,2,2,1,12,28,0,"1,784"
Chittenden,,,432,354,11,10,4,1,0,6,5,0,823
Clarendon,,,621,809,19,1,3,2,0,1,8,3,"1,467"
Colchester,,,"6,404","2,864",131,59,30,25,4,95,73,2,"9,687"
Concord,,,249,371,12,3,4,0,0,4,4,0,647
Corinth,,,435,417,17,1,5,3,1,4,11,0,894
Cornwall,,,677,152,12,3,1,4,1,10,7,0,867
Coventry,,,239,331,10,0,3,1,0,3,1,1,589
Craftsbury,,,530,207,16,6,6,4,0,14,7,1,791
Danby,,,308,426,18,4,1,3,1,7,5,1,774
Danville,,,864,578,34,9,7,4,1,17,21,1,"1,536"
Derby,,,"1,154","1,445",43,11,4,5,2,14,19,2,"2,699"
Dorset,,,"1,006",393,21,11,2,8,0,14,16,0,"1,471"
Dover,,,558,311,20,2,4,1,1,7,6,1,911
Dummerston,,,981,275,19,7,5,9,2,10,9,0,"1,317"
Duxbury,,,655,234,18,6,3,4,1,9,8,1,939
"E. Haven",,,82,64,5,2,0,0,0,0,0,0,153
"E. Montpelier",,,"1,291",382,28,6,7,9,2,18,16,0,"1,759"
Eden,,,290,354,15,0,2,4,0,9,3,0,677
Elmore,,,439,160,5,3,4,3,0,3,10,0,627
Enosburgh,,,599,712,29,1,4,0,0,11,1,6,"1,363"
Essex,,,"4,965","1,936",91,51,14,23,3,74,89,0,"7,246"
"Essex Junction",,,"4,413","1,520",75,34,28,19,4,48,57,1,"6,199"
"Fair Haven",,,586,723,27,4,1,1,1,6,10,2,"1,361"
Fairfax,,,"1,658","1,288",55,18,8,7,2,35,31,0,"3,102"
Fairfield,,,577,522,26,8,3,9,0,8,14,3,"1,170"
Fairlee,,,433,178,9,0,0,1,1,5,10,0,637
Fayston,,,768,139,10,3,4,2,0,8,1,0,935
Ferrisburgh,,,"1,195",632,28,16,7,13,1,24,14,2,"1,932"
Fletcher,,,507,312,19,2,4,3,0,10,7,0,864
Franklin,,,332,458,24,6,4,0,0,4,6,0,834
Georgia,,,"1,501","1,403",40,18,10,3,3,23,27,0,"3,028"
Glover,,,374,264,12,0,5,5,0,7,6,0,673
Goshen,,,86,40,1,0,1,0,0,1,3,0,132
Grafton,,,271,145,4,0,3,0,0,2,6,0,431
Granby,,,23,25,0,0,0,1,0,0,0,0,49
"Grand Isle",,,853,541,21,9,4,2,2,13,8,0,"1,453"
Granville,,,114,47,6,0,1,0,0,2,2,0,172
Greensboro,,,376,125,6,3,0,4,0,10,4,0,528
Groton,,,277,286,6,3,2,5,1,4,14,0,598
Guildhall,,,85,94,3,3,1,0,0,1,1,0,188
Guilford,,,941,372,25,8,7,20,0,18,9,0,"1,400"
Halifax,,,292,222,4,3,3,2,0,5,2,1,534
Hancock,,,119,75,2,1,1,1,0,1,1,0,201
Hardwick,,,899,582,23,6,8,13,3,16,19,0,"1,569"
Hartford,,,"4,363","1,649",77,32,32,21,3,52,47,5,"6,281"
Hartland,,,"1,432",674,35,7,14,5,2,17,9,0,"2,195"
Highgate,,,639,"1,081",37,7,2,1,1,3,11,0,"1,782"
Hinesburg,,,"2,322",727,23,23,7,14,1,31,30,1,"3,179"
Holland,,,129,235,4,1,0,0,0,1,2,1,373
Hubbardton,,,219,199,4,1,0,0,0,2,0,2,427
Huntington,,,973,328,28,10,8,10,0,10,10,3,"1,380"
"Hyde Park",,,"1,118",618,33,5,3,8,1,5,24,1,"1,816"
Ira,,,131,142,3,1,0,0,0,2,1,0,280
Irasburg,,,208,466,16,0,1,0,0,4,3,1,699
"Isle La Motte",,,198,172,5,2,0,0,0,2,1,0,380
Jamaica,,,380,178,13,4,5,1,0,5,4,0,590
Jay,,,144,161,7,0,0,0,0,0,3,0,315
Jericho,,,"2,656",836,40,17,12,10,1,30,46,0,"3,648"
Johnson,,,915,610,26,13,9,5,3,8,13,0,"1,602"
Killington,,,510,254,16,4,1,4,0,8,6,0,803
Kirby,,,195,119,6,2,0,1,0,4,3,0,330
Landgrove,,,94,15,2,1,0,2,0,0,3,0,117
Leicester,,,319,266,10,3,3,2,0,6,4,1,614
Lemington,,,25,25,0,0,0,0,0,0,1,0,51
Lincoln,,,678,241,16,3,6,3,0,11,14,0,972
Londonderry,,,726,380,13,6,6,4,1,4,6,3,"1,149"
