City/Town,,,"Bernie Sanders","Gerald Malloy","Steve Berry","Matt Hill","Justin Schoville","Mark Stewart Greenstein",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,Independent,Republican,Independent,Libertarian,"Peace And Justice",Epic
Addison,,,401,421,17,9,10,2,0,16,1,877
Albany,,,276,252,14,7,1,1,1,7,5,564
Alburgh,,,505,488,29,19,10,5,0,33,1,"1,090"
Andover,,,187,158,10,2,3,1,0,6,0,367
Arlington,,,846,484,106,14,15,3,2,43,0,"1,513"
Athens,,,120,98,5,0,5,1,0,4,0,233
Bakersfield,,,404,327,16,6,7,1,0,12,2,775
Baltimore,,,51,83,6,0,2,0,0,6,0,148
Barnard,,,438,171,2,10,21,3,2,15,1,663
Barnet,,,618,416,23,18,5,1,4,20,2,"1,107"
"Barre City",,,"2,297","1,189",76,57,50,8,3,93,7,"3,780"
"Barre Town",,,"2,405","2,195",89,69,33,9,4,96,8,"4,908"
Barton,,,704,565,24,27,7,1,0,37,0,"1,365"
Belvidere,,,96,95,3,5,2,0,0,7,0,208
Bennington,,,"4,247","2,147",392,73,79,24,9,262,14,"7,247"
Benson,,,239,352,19,7,3,0,0,17,0,637
Berkshire,,,295,430,16,13,5,3,0,22,0,784
Berlin,,,973,511,23,18,18,2,0,34,1,"1,580"
Bethel,,,645,335,18,9,26,1,2,17,1,"1,054"
Bloomfield,,,50,76,5,4,1,0,0,3,0,139
Bolton,,,549,225,15,5,5,2,0,14,1,816
Bradford,,,864,568,37,18,15,1,2,40,0,"1,545"
Braintree,,,422,289,12,10,5,2,0,16,0,756
Brandon,,,"1,206","1,019",45,23,19,10,1,51,2,"2,376"
Brattleboro,,,"4,980",950,89,51,71,136,10,201,2,"6,490"
Bridgewater,,,320,209,22,9,8,0,0,12,1,581
Bridport,,,356,373,10,10,7,2,0,21,2,781
Brighton,,,272,334,7,21,6,3,0,12,0,655
Bristol,,,"1,451",771,41,30,14,5,2,46,3,"2,363"
Brookfield,,,514,340,17,21,15,4,3,14,0,928
Brookline,,,203,104,13,2,1,4,0,5,1,333
Brownington,,,234,265,2,18,8,1,0,19,2,549
Brunswick,,,23,36,0,1,0,1,0,2,0,63
Burke,,,523,349,18,44,2,2,1,19,2,960
Burlington,,,"17,206","2,118",288,178,302,47,34,644,19,"20,836"
Cabot,,,537,306,13,12,9,1,3,32,0,913
Calais,,,854,253,8,10,10,1,1,18,0,"1,155"
Cambridge,,,"1,441",661,30,23,9,9,0,42,3,"2,218"
Canaan,,,251,225,30,11,5,0,0,24,0,546
Castleton,,,990,"1,024",52,34,12,8,1,49,1,"2,171"
Cavendish,,,410,368,20,8,5,3,0,21,0,835
Charleston,,,253,280,7,8,4,2,1,6,0,561
Charlotte,,,"2,065",612,35,26,14,3,6,86,3,"2,850"
Chelsea,,,367,306,19,14,12,2,3,17,1,741
Chester,,,999,671,46,11,14,1,4,38,0,"1,784"
Chittenden,,,411,360,21,9,8,4,0,10,0,823
Clarendon,,,584,779,41,19,6,2,1,31,4,"1,467"
Colchester,,,"6,196","2,895",144,78,71,20,12,263,8,"9,687"
Concord,,,264,326,15,19,3,1,2,17,0,647
Corinth,,,439,401,18,4,6,3,0,23,0,894
Cornwall,,,647,178,9,8,3,2,1,17,2,867
Coventry,,,254,293,7,10,4,0,0,20,1,589
Craftsbury,,,528,196,22,13,8,0,0,24,0,791
Danby,,,308,381,52,9,9,2,0,13,0,774
Danville,,,808,617,30,34,8,2,1,35,1,"1,536"
Derby,,,"1,163","1,331",34,47,25,14,1,82,2,"2,699"
Dorset,,,896,384,109,12,17,3,0,50,0,"1,471"
Dover,,,532,285,36,12,9,10,2,23,2,911
Dummerston,,,984,248,17,9,13,15,1,30,0,"1,317"
Duxbury,,,632,237,17,7,14,0,0,32,0,939
"E. Haven",,,79,64,3,6,0,0,0,1,0,153
"E. Montpelier",,,"1,251",395,39,11,15,3,3,41,1,"1,759"
Eden,,,293,328,20,13,7,1,0,15,0,677
Elmore,,,406,175,6,11,9,0,2,18,0,627
Enosburgh,,,645,633,23,15,14,3,1,29,0,"1,363"
Essex,,,"4,738","2,065",105,79,54,14,10,177,4,"7,246"
"Essex Junction",,,"4,272","1,507",107,73,51,16,6,162,5,"6,199"
"Fair Haven",,,610,643,44,16,9,2,4,32,1,"1,361"
Fairfax,,,"1,615","1,316",58,34,22,8,3,46,0,"3,102"
Fairfield,,,572,526,19,16,10,5,0,22,0,"1,170"
Fairlee,,,429,177,7,6,5,3,1,9,0,637
Fayston,,,711,169,24,6,7,1,0,16,1,935
Ferrisburgh,,,"1,173",656,32,24,11,4,2,25,5,"1,932"
Fletcher,,,490,312,20,12,10,5,0,15,0,864
Franklin,,,350,440,11,10,8,1,0,13,1,834
Georgia,,,"1,423","1,425",49,32,18,5,4,68,4,"3,028"
Glover,,,388,244,7,10,3,1,0,18,2,673
Goshen,,,89,37,2,1,1,0,0,2,0,132
Grafton,,,266,136,7,5,4,2,0,10,1,431
Granby,,,19,22,0,3,1,0,0,4,0,49
"Grand Isle",,,826,556,20,14,9,3,1,23,1,"1,453"
Granville,,,124,42,1,1,0,0,0,4,0,172
Greensboro,,,371,120,8,14,7,1,0,7,0,528
Groton,,,283,274,8,12,6,0,0,15,0,598
Guildhall,,,88,84,5,4,0,0,1,6,0,188
Guilford,,,970,343,28,13,5,12,0,28,1,"1,400"
Halifax,,,293,210,8,5,2,4,0,12,0,534
Hancock,,,122,63,6,1,1,3,1,4,0,201
Hardwick,,,930,533,25,27,15,2,0,34,3,"1,569"
Hartford,,,"4,239","1,539",163,75,66,18,5,169,7,"6,281"
Hartland,,,"1,351",682,49,31,26,1,2,53,0,"2,195"
Highgate,,,715,977,22,14,13,0,0,41,0,"1,782"
Hinesburg,,,"2,195",789,44,37,22,5,4,82,1,"3,179"
Holland,,,134,209,7,8,1,1,0,13,0,373
Hubbardton,,,206,196,8,7,2,0,0,8,0,427
Huntington,,,995,321,21,15,3,1,0,24,0,"1,380"
"Hyde Park",,,"1,089",606,36,30,12,1,1,39,2,"1,816"
Ira,,,125,141,4,2,3,0,0,4,1,280
Irasburg,,,240,421,9,10,4,2,0,13,0,699
"Isle La Motte",,,196,165,5,2,2,0,1,9,0,380
Jamaica,,,370,162,26,9,4,6,1,12,0,590
Jay,,,144,150,2,11,1,0,0,7,0,315
Jericho,,,"2,551",938,41,30,15,4,2,66,1,"3,648"
Johnson,,,933,547,23,49,16,5,0,29,0,"1,602"
Killington,,,472,285,16,7,9,0,1,13,0,803
Kirby,,,191,121,3,6,1,1,0,7,0,330
Landgrove,,,90,18,4,3,0,0,0,2,0,117
Leicester,,,306,264,15,8,6,2,0,12,1,614
Lemington,,,24,24,2,1,0,0,0,0,0,51
Lincoln,,,660,241,21,11,11,2,0,26,0,972
Londonderry,,,666,364,59,10,12,1,2,33,2,"1,149"
Lowell,,,185,281,12,10,0,5,0,19,0,512
Ludlow,,,627,499,37,15,9,5,1,26,0,"1,219"
Lunenburg,,,264,328,20,14,10,3,0,19,0,658
Lyndon,,,"1,197","1,172",46,111,18,9,3,67,2,"2,625"
Maidstone,,,61,65,7,2,1,0,0,8,0,144
Manchester,,,"1,716",717,281,25,21,2,1,86,4,"2,853"
Marlboro,,,493,101,7,6,8,8,0,11,0,634
Marshfield,,,575,331,18,13,15,0,1,23,0,976
Mendon,,,396,314,15,5,10,0,0,15,1,756
Middlebury,,,"3,301",849,77,41,36,10,8,112,1,"4,435"
Middlesex,,,932,274,9,10,13,3,2,27,1,"1,271"
"Middletown Springs",,,312,232,23,5,5,0,0,7,0,584
Milton,,,"3,290","2,721",90,62,35,12,3,189,2,"6,404"
Monkton,,,931,450,26,21,14,3,1,21,2,"1,469"
Montgomery,,,448,264,13,11,9,3,1,19,0,768
Montpelier,,,"4,300",529,55,30,59,13,12,82,3,"5,083"
Moretown,,,824,279,23,16,8,2,0,34,1,"1,187"
Morgan,,,163,225,4,8,1,0,0,14,0,415
Morristown,,,"2,217",845,73,58,33,6,2,89,3,"3,326"
"Mount Holly",,,417,409,34,6,7,2,1,13,0,889
"Mount Tabor",,,54,52,6,1,1,0,0,3,0,117
"New Haven",,,646,479,14,14,5,0,0,24,1,"1,183"
Newark,,,172,166,9,5,2,2,0,5,0,361
Newbury,,,675,471,30,22,14,2,0,31,1,"1,246"
Newfane,,,802,221,21,7,11,12,0,30,2,"1,106"
"Newport City",,,"1,056",723,36,36,17,5,4,53,2,"1,932"
"Newport Town",,,379,442,18,14,3,0,1,25,0,882
"N. Hero",,,456,278,10,5,2,2,1,10,2,766
Northfield,,,"1,518",971,53,49,34,8,2,111,3,"2,749"
Norton,,,32,61,5,5,0,1,0,5,0,109
Norwich,,,"2,123",221,35,16,22,8,1,73,2,"2,501"
Orange,,,245,339,11,19,6,1,0,15,0,636
Orwell,,,382,357,20,4,3,1,0,16,0,783
Panton,,,265,146,14,3,3,2,0,7,0,440
Pawlet,,,492,373,45,5,2,1,0,13,2,933
Peacham,,,361,151,2,11,4,0,1,13,0,543
Peru,,,194,70,16,0,6,2,2,4,0,294
Pittsfield,,,186,126,11,3,5,0,0,9,0,340
Pittsford,,,782,872,37,31,13,4,0,44,0,"1,783"
Plainfield,,,589,183,6,0,8,1,1,22,0,810
Plymouth,,,220,126,5,0,6,1,3,8,0,369
Pomfret,,,480,146,11,1,9,1,1,8,1,658
Poultney,,,832,775,52,19,21,2,0,27,2,"1,730"
Pownal,,,867,753,100,29,11,9,3,60,5,"1,837"
Proctor,,,473,409,26,11,10,5,1,17,0,952
Putney,,,"1,151",240,20,9,20,18,1,51,0,"1,510"
Randolph,,,"1,697",800,56,33,52,2,4,49,0,"2,693"
Reading,,,302,148,10,1,2,0,0,10,0,473
Readsboro,,,200,203,14,5,4,8,0,13,0,447
Richford,,,474,463,22,15,15,6,1,14,0,"1,010"
Richmond,,,"2,109",628,45,27,23,2,3,61,0,"2,898"
Ripton,,,315,72,5,7,7,0,0,4,0,410
Rochester,,,530,171,7,5,11,1,1,16,1,743
Rockingham,,,"1,664",677,74,28,33,25,3,81,2,"2,587"
Roxbury,,,269,155,13,5,3,0,0,11,0,456
Royalton,,,934,478,37,24,40,2,0,43,0,"1,558"
Rupert,,,231,123,50,8,2,0,2,7,1,424
"Rutland City",,,"4,147","2,952",206,81,81,20,9,201,8,"7,705"
"Rutland Town",,,"1,345","1,053",77,23,8,6,4,66,3,"2,585"
Ryegate,,,337,294,8,17,5,4,3,21,0,689
Salisbury,,,376,271,8,11,8,1,2,14,1,692
Sandgate,,,133,100,10,1,3,1,1,5,1,255
Searsburg,,,19,38,1,0,0,2,0,0,0,60
Shaftsbury,,,"1,275",752,126,22,10,4,1,65,3,"2,258"
Sharon,,,599,321,14,13,14,1,0,28,1,991
Sheffield,,,175,186,0,14,10,1,0,8,0,394
Shelburne,,,"4,138","1,143",84,54,18,8,10,177,3,"5,635"
Sheldon,,,440,552,28,9,2,1,2,15,0,"1,049"
Shoreham,,,412,276,17,2,9,0,1,17,0,734
Shrewsbury,,,367,311,23,5,5,2,1,17,0,731
