state,county,municipality,ward,source_level,ballots_cast,registered_voters,registration_denominator_timing,denominator_type,coverage_status,warning_required,source_url,notes
WI,Milwaukee,City of Milwaukee,Ward 1,ward,1254,1486,preElectionDay,registered_voters,local_partial,true,https://city.milwaukee.gov/ImageLibrary/Groups/electionAuthors/Election-Results/2024/2024-November-4-General-Election-WardbyWard-Reults.pdf,Official City of Milwaukee ward-by-ward report. Registered voter counts are treated as pre-Election-Day unless a final-denominator source is found.
WI,Milwaukee,City of Milwaukee,Ward 2,ward,436,540,preElectionDay,registered_voters,local_partial,true,https://city.milwaukee.gov/ImageLibrary/Groups/electionAuthors/Election-Results/2024/2024-November-4-General-Election-WardbyWard-Reults.pdf,Official City of Milwaukee ward-by-ward report. Registered voter counts are treated as pre-Election-Day unless a final-denominator source is found.
WI,Milwaukee,City of Milwaukee,Ward 3,ward,803,1032,preElectionDay,registered_voters,local_partial,true,https://city.milwaukee.gov/ImageLibrary/Groups/electionAuthors/Election-Results/2024/2024-November-4-General-Election-WardbyWard-Reults.pdf,Official City of Milwaukee ward-by-ward report. Registered voter counts are treated as pre-Election-Day unless a final-denominator source is found.
WI,Milwaukee,City of Milwaukee,Ward 4,ward,1383,1700,preElectionDay,registered_voters,local_partial,true,https://city.milwaukee.gov/ImageLibrary/Groups/electionAuthors/Election-Results/2024/2024-November-4-General-Election-WardbyWard-Reults.pdf,Official City of Milwaukee ward-by-ward report. Registered voter counts are treated as pre-Election-Day unless a final-denominator source is found.
WI,Milwaukee,City of Milwaukee,Ward 5,ward,761,884,preElectionDay,registered_voters,local_partial,true,https://city.milwaukee.gov/ImageLibrary/Groups/electionAuthors/Election-Results/2024/2024-November-4-General-Election-WardbyWard-Reults.pdf,Official City of Milwaukee ward-by-ward report. Registered voter counts are treated as pre-Election-Day unless a final-denominator source is found.
WI,Milwaukee,City of Milwaukee,Ward 6,ward,1206,1345,preElectionDay,registered_voters,local_partial,true,https://city.milwaukee.gov/ImageLibrary/Groups/electionAuthors/Election-Results/2024/2024-November-4-General-Election-WardbyWard-Reults.pdf,Official City of Milwaukee ward-by-ward report. Registered voter counts are treated as pre-Election-Day unless a final-denominator source is found.
WI,Milwaukee,City of Milwaukee,Ward 7,ward,583,665,preElectionDay,registered_voters,local_partial,true,https://city.milwaukee.gov/ImageLibrary/Groups/electionAuthors/Election-Results/2024/2024-November-4-General-Election-WardbyWard-Reults.pdf,Official City of Milwaukee ward-by-ward report. Registered voter counts are treated as pre-Election-Day unless a final-denominator source is found.
WI,Milwaukee,City of Milwaukee,Ward 8,ward,1290,1422,preElectionDay,registered_voters,local_partial,true,https://city.milwaukee.gov/ImageLibrary/Groups/electionAuthors/Election-Results/2024/2024-November-4-General-Election-WardbyWard-Reults.pdf,Official City of Milwaukee ward-by-ward report. Registered voter counts are treated as pre-Election-Day unless a final-denominator source is found.
WI,Milwaukee,City of Milwaukee,Ward 9,ward,728,806,preElectionDay,registered_voters,local_partial,true,https://city.milwaukee.gov/ImageLibrary/Groups/electionAuthors/Election-Results/2024/2024-November-4-General-Election-WardbyWard-Reults.pdf,Official City of Milwaukee ward-by-ward report. Registered voter counts are treated as pre-Election-Day unless a final-denominator source is found.
WI,Milwaukee,City of Milwaukee,Ward 10,ward,1199,1352,preElectionDay,registered_voters,local_partial,true,https://city.milwaukee.gov/ImageLibrary/Groups/electionAuthors/Election-Results/2024/2024-November-4-General-Election-WardbyWard-Reults.pdf,Official City of Milwaukee ward-by-ward report. Registered voter counts are treated as pre-Election-Day unless a final-denominator source is found.
